Filtro,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Sr,Ba,Pb,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,OCPk1 C ,OCPk2 C ,OCPk3 C ,OCPk4 C ,OCPk5 C ,OCPk6 C ,OCPk7 C ,OCPk8 C ,Pyrol C ,ECPk1 C ,ECPk2 C ,ECPk3 C ,ECPk4 C ,ECPk5 C,ECPk6 C,PM2.5,23Na (KED),25Mg (KED),Al,39K (KED),43Ca (KED),48Ti (KED),51V (KED),52Cr (KED),55Mn (KED),56Fe (KED),59Co (KED),60Ni (KED),63Cu (KED),66Zn (KED),75As (KED),82Se (KED),95Mo (KED),107Ag (KED),111Cd (KED),121Sb (KED),135Ba (KED),201Hg (KED),208Pb (KED)
Unidad,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,C. Ionica y TXRF,C. Ionica,C. Ionica,C. Ionica,C. Ionica,C. Ionica,Método Niosh,Método Niosh,Método Niosh,TXRF,TXRF,TXRF e Ionica,TXRF,TXRF,TXRF e ICP-MS,TXRF,TXRF,TXRF e ICP-MS,TXRF,TXRF e ICP-MS,TXRF,TXRF e ICP-MS,TXRF,TXRF,TXRF,TXRF,TXRF,TXRF e ICP-MS,ICP-MS,ICP-MS y TXRF,ICP-MS y TXRF,ICP-MS y TXRF,ICP-MS,ICP-MS y TXRF,ICP-MS y TXRF,ICP-MS,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Gravimetría,,,,,,,,,,,,,,,,,,,,,,,
1,0.552502740490462,0.527409604940448,0.686362022470525,0.557267783081888,0.178875398900435,NA,4.16008114399339,1.24597998166768,3.04711942909244,NA,1.01674048131576,0.346810034571455,0.174909257396581,0.810934495887351,0.014835010009927,0.00411354469403,0.007808701466176,0.005643525199172,0.410657349225306,0.002726845833124,0.006933349535452,0.028957237776843,0,0.000639111278189,NA,0.004163867329967,NA,0.008707401725784,4.19355387840135E-05,0.004975579780026,0.016671943707548,0.004977420709929,0.00064037680561,0.001847192811564,0.003744354717856,0.000813671943196,1.49966837891859,0.634478056321062,0.630585942282382,1.28540638419397,0.009946788593833,0,0,0,0.099996093183925,0.023581591028315,0.090183991077619,0.652675754821692,0.511206889828953,0.026455762298825,0.0069087683461,22.2051030552931,,,,,,,,,,,,,,,,,,,,,,,
2,0.557869205504105,0.658912679184479,0.603011479267973,0.499220769989759,0.131566682701544,NA,6.86685900555487,0.798001013287365,5.40606112566106,NA,0.57577114590777,0.805076414414182,0.398687701519257,1.04685903300759,0.018253893170914,NA,0.001733541812673,0.005000296765889,0.256911439940549,0.00184588058697,0.006767653305458,0.238677311619441,0.003725575900835,0.000558836385125,NA,0.003042077404622,NA,0.022858414416317,NA,0.029494540656757,0.022228699826628,0.004293526740169,0.000286537582478,0.001166935226227,0.005484505392253,0.002881530394359,2.1898261479691,1.33029777180185,0.723732005733198,1.29514915554239,0.030022050519913,0,0,0,1.2978318611995,0.121154300039307,0.351409870844179,1.24277371787017,0.305394594196221,0.023325620991114,0.021203142329503,21.4339386387533,,,,,,,,,,,,,,,,,,,,,,,
3,0.16862025103032,0.434041673298085,0.392573190651153,0.512167959709097,0.122201569150472,NA,7.44443873089812,1.61277223771208,7.66486001884224,NA,0.42841274494068,0.520748438529116,0.141241160070374,0.712466928687604,0.008744991044099,0.001598789494267,0.005659846373451,0.007093139620077,0.228294127440727,0.001726511345242,0.004075899976217,0.027503214567337,0.000435338610569,0.000435338610569,NA,0.002987553449794,NA,0.002589544799836,NA,0.002721437782261,0.016826326010141,0.005367994283295,0.000268192008242,0.002022210151016,0.00455620362322,0.000548367881812,2.73004998284406,1.43147440274053,0.708177513353359,1.31938645892489,0.024179466219395,0,0,0,1.23116881782124,0.118123305173203,0.343107174991334,1.53318876057766,0.764526239373223,0.029880663155675,0.019392124054705,21.7408915915606,,,,,,,,,,,,,,,,,,,,,,,
4,0.090778901736557,0.287819952840031,0.457779559900779,0.288265659085788,0.2454458588282,NA,3.48414873065486,0.697417475992115,9.05721096861019,NA,0.372464547482879,0.297308566050273,0.061223728050845,0.473693723191529,0.002777915053477,0.000851829280465,0.003032577045454,0.005402708876783,0.100900264572326,0.000951760197057,0.00228954315997,0.005103724492853,0.000757539708599,0.00030301588344,NA,0.002744066985129,NA,0.002335478840374,4.88577634283964E-05,0.002616538753137,0.002857097698652,0.002492370224225,8.8827489432699E-05,0.000710111097575,NA,0.000888266305159,1.19943812979001,0.62775796518405,0.40193220640769,0.797765903855062,0.009256816864357,0,0,0,0.447996768299388,0.027212577194537,0.098126912374826,0.563817406975908,0.40231627334103,0.021997715636067,0.007077886417227,10.4176049791776,,,,,,,,,,,,,,,,,,,,,,,
5,0.278472540855643,0.230346235127071,0.475337272256638,0.333181538343361,0.173857483336642,NA,6.70128415114565,2.33329763527107,4.18156620664698,NA,0.284589941285416,0.493359842635649,0.07061722043747,0.705652381964489,0.010807835964625,0.001609368989064,0.00575971999641,0.006311756527102,0.22119757029782,0.001103268138776,0.007137797295003,0.099341664242547,0.00651484149395,0.001818095300637,NA,0.00259255904341,NA,0.046121273997386,4.59441171785217E-05,0.072052263402874,0.143649013305054,0.005738644738607,0.000557089786762,0.002142340159434,0.011971522178627,0.005157295434713,2.14751107572641,1.42167522503796,0.674321640411544,1.18697161222802,0.029314483698555,0,0,0,1.24149007842508,0.100847592261832,0.388108305833346,1.99096899080797,0.9946972885276,0.049142948810282,0.026157389330912,15.3343009271658,,,,,,,,,,,,,,,,,,,,,,,
6,0.098330699454676,0.362595967770242,0.322434015647666,0.306746822540771,NA,NA,6.41995489395091,0.707822683782616,9.03458178641672,NA,0.247622003505793,0.199434435699305,0.131523413008816,0.289611574002014,0.002626407111757,0.000245797513586,0.001365989686536,0.005705724760222,0.119687249345577,0.001103268138776,0.005925733761245,0.025405788683302,0.000454523825159,0,NA,0.001835019334811,NA,0.002183970898654,0.000124061208652,0.004211516245992,0.022032797022796,0.007324955236922,0.000193004158913,0.002021276294156,0.00031562695682,0.003008535234986,1.96510111028477,1.45079190324946,0.639197484229701,0.999942328372226,0.026259542933566,0,0,0,1.33866282337962,0.130747805220098,0.317139121329557,1.18022139955017,0.356324819925141,0.020346316395101,0.01684098530784,19.3607181766876,,,,,,,,,,,,,,,,,,,,,,,
7,0.428171197705442,0.784922474629608,0.499290177854698,0.340845870605599,0.328757766194683,NA,10.1395605755945,1.91390607584043,7.12777757773353,NA,0.343981054439564,0.330185789403462,0.326059610176994,0.359608243076545,0.011413867731504,NA,0.004699164404371,0.003130089750986,0.244984317147823,0.001254776080496,0.010167956129398,0.038435471671201,0.005757301785351,0.003030158834395,NA,0.001532003451371,NA,0.062787147586561,NA,0.071775531421815,0.023803786217849,0.004634105510129,0.000420113294696,0.001140858744247,0.006678805355028,0.011588207419438,2.9999163770445,2.23095018199819,0.931739187321976,1.09087907226872,0.032980775731849,0,0,0,2.85309352088792,0.293850879395678,0.649567401751375,2.81752060840269,0.922480525567091,0.036883867171069,0.021831415760298,30.5445211994954,,,,,,,,,,,,,,,,,,,,,,,
8,0.117996839345612,0.144286113316042,0.374990876474476,0.318980832151816,0.194311304905659,NA,3.83888905974708,0.960616499419264,12.0534666514349,NA,0.36549518216377,0.385789204014616,0.131523413008816,0.80807175056705,0.02035283629297,0.002972940464542,0.000608449977938,0.006766280352261,0.243014713905466,0.001557791963936,0.00213803521825,0.014194200996039,0.00030301588344,0.00015150794172,NA,0.003047082868569,NA,0.000820399423177,2.10046265380796E-05,0.002165246099318,0.016333067149536,0.007728251184241,0.000237133302328,0.002130045413251,0.02167377153103,0.000736180180504,1.02043331595726,0.969572398027349,0.546254150021058,0.713568857422337,0.007709069391888,0,0,0,0.581350549315863,0.057515138933159,0.132199610189836,0.620468438019229,0.664787490134382,0.034823345410224,0.007308259753928,21.0239159542555,,,,,,,,,,,,,,,,,,,,,,,
