Filtro,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,S,Ca,V,Cr,Fe,Cu,As,Se,Sr,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,OCPk6 C,OCPk7 C,OCPk8 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,PM2.5,Na,Mg,Al,K,Co,Ag,Cd,Ba,Hg-ICPcr
Unidad,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,C. Ionica y TXRF,C. Ionica,C. Ionica,C. Ionica,C. Ionica,C. Ionica,Método Niosh,Método Niosh,Método Niosh,TXRF,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF,ICP-MS,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS y TXRF,ICP-MS+ICPcr,ICP-MS+ICPcr,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Gravimetría,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR
1,0.5525027405,0.5274096049,0.6863620225,0.5572677831,0.1788753989,,4.160081144,1.245979982,3.047119429,1.016740481,0.8109344959,0.004113544694,0.007808701466,0.4106573492,0.006933349535,,0.0006391112782,0.00416386733,,0.00882745,0.02957861,0.00883071,0.00113613,0.00327721,0.00664306,0.00144358,1.499668379,0.6344780563,0.6305859423,1.285406384,0.009946788594,0,0,0,0.09999609318,0.02358159103,0.09018399108,0.6526757548,0.5112068898,0.0264557623,0.006908768346,22.20510306,,,,,,,,,
2,0.5578692055,0.6589126792,0.6030114793,0.49922077,0.1315666827,,6.866859006,0.7980010133,5.406061126,0.5757711459,1.046859033,,0.001733541813,0.2569114399,0.006767653305,0.003725575901,0.0005588363851,0.003042077405,,0.04575529,0.03448369,0.00666061,0.00044451,0.00181028,0.00850819,0.00447016,2.189826148,1.330297772,0.7237320057,1.295149156,0.03002205052,0,0,0,1.297831861,0.1211543,0.3514098708,1.242773718,0.3053945942,0.02332562099,0.02120314233,21.43393864,,,,,,,,,
3,0.168620251,0.4340416733,0.3925731907,0.5121679597,0.1222015692,,7.444438731,1.612772238,7.664860019,0.4284127449,0.7124669287,,0.005659846373,0.2282941274,0.004075899976,0.0004353386106,0.0004353386106,0.00298755345,,0.00493324,0.03050161,0.00973073,0.00048616,0.00366572,0.00825917,0.00099404,2.730049983,1.431474403,0.7081775134,1.319386459,0.02417946622,0,0,0,1.231168818,0.1181233052,0.343107175,1.533188761,0.7645262394,0.02988066316,0.01939212405,21.74089159,,,,,,,,,
4,0.09077890174,0.2878199528,0.4577795599,0.2882656591,0.2454458588,,3.484148731,0.697417476,9.057210969,0.3724645475,0.4736937232,,0.003032577045,0.1009002646,0.00228954316,0.0007575397086,0.0003030158834,0.002744066985,,0.00330141,0.00360493,0.00314474,0.00011208,0.00089598,,0.00112077,1.19943813,0.6277579652,0.4019322064,0.7977659039,0.009256816864,0,0,0,0.4479967683,0.02721257719,0.09812691237,0.563817407,0.4023162733,0.02199771564,0.007077886417,10.41760498,,,,,,,,,
5,0.2784725409,0.2303462351,0.4753372723,0.3331815383,0.1738574833,,6.701284151,2.333297635,4.181566207,0.2845899413,0.705652382,0.001609368989,0.005759719996,0.2211975703,0.007137797295,0.006514841494,0.001818095301,0.002592559043,,0.09091159,0.18124845,0.00724071,0.00070291,0.00270309,0.01510501,0.00650719,2.147511076,1.421675225,0.6743216404,1.186971612,0.0293144837,0,0,0,1.241490078,0.1008475923,0.3881083058,1.990968991,0.9946972885,0.04914294881,0.02615738933,15.33430093,,,,,,,,,
6,0.09833069945,0.3625959678,0.3224340156,0.3067468225,,,6.419954894,0.7078226838,9.034581786,0.2476220035,,,,0.1196872493,0.005925733761,0.0004545238252,,0.001835019335,,0.00531386,0.02779977,0.00924223,0.00024352,0.00255034,0.00039824,0.003796,1.96510111,1.450791903,0.6391974842,0.9999423284,0.02625954293,0,0,0,1.338662823,0.1307478052,0.3171391213,1.1802214,0.3563248199,0.0203463164,0.01684098531,19.36071818,,,,,,,,,
7,0.4281711977,0.7849224746,0.4992901779,0.3408458706,0.3287577662,,10.13956058,1.913906076,7.127777578,0.3439810544,,,0.004699164404,0.2449843171,0.01016795613,0.005757301785,0.003030158834,0.001532003451,,0.09056243,0.03003431,0.00584706,0.00053008,0.00143947,0.00842695,0.01462136,2.999916377,2.230950182,0.9317391873,1.090879072,0.03298077573,0,0,0,2.853093521,0.2938508794,0.6495674018,2.817520608,0.9224805256,0.03688386717,0.02183141576,30.5445212,,,,,,,,,
8,0.1179968393,0.1442861133,0.3749908765,0.3189808322,0.1943113049,,3.83888906,0.9606164994,12.05346665,0.3654951822,0.8080717506,0.002972940465,,0.2430147139,0.002138035218,0.0003030158834,0.0001515079417,0.003047082869,,0.00273199,0.02060817,0.00975108,0.0002992,0.00268757,0.02734678,0.00092887,1.020433316,0.969572398,0.54625415,0.7135688574,0.007709069392,0,0,0,0.5813505493,0.05751513893,0.1321996102,0.620468438,0.6647874901,0.03482334541,0.007308259754,21.02391595,,,,,,,,,
