Filtro,Cl,NO3,SO4,Na,NH4,PM2.5
Unidad,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,C. Ionica y TXRF,C. Ionica,C. Ionica,C. Ionica,C. Ionica,Gravimetría
1,0.5525027405,0.5274096049,0.6863620225,0.5572677831,0.1788753989,22.20510306
2,0.5578692055,0.6589126792,0.6030114793,0.49922077,0.1315666827,21.43393864
3,0.168620251,0.4340416733,0.3925731907,0.5121679597,0.1222015692,21.74089159
4,0.09077890174,0.2878199528,0.4577795599,0.2882656591,0.2454458588,10.41760498
5,0.2784725409,0.2303462351,0.4753372723,0.3331815383,0.1738574833,15.33430093
6,0.09833069945,0.3625959678,0.3224340156,0.3067468225,,19.36071818
7,0.4281711977,0.7849224746,0.4992901779,0.3408458706,0.3287577662,30.5445212
8,0.1179968393,0.1442861133,0.3749908765,0.3189808322,0.1943113049,21.02391595
9,0.1685781511,0.4205210498,0.2983648338,0.3155391131,0.1633811357,14.43471618
10,0.2337124065,0.2180089449,0.327433894,0.3425522691,0.09453656554,16.58286252
11,0.1507522911,0.351902446,0.4466023077,0.3144979208,0.06659963852,14.54328675
12,0.3017879512,0.348468266,0.6819641503,0.3543524486,0.05936596992,13.28955514
14,0.1407402856,0.4044893418,0.4822097288,0.3325335934,0.1659026834,12.49989012
15,0.4380027751,0.3634937515,0.5714510691,0.3981303517,0.03010455852,21.49606282
16,0.1362617304,0.3749988428,0.5001676262,0.2910151023,0.1096997163,14.33378342
18,0.16449449,0.6574667828,0.4261274975,0.2795471942,0.2251205938,17.47322697
19,0.6958667614,1.494875415,1.445229258,0.3431858507,1.50726121,38.93872937
20,0.1885583141,0.3625833031,0.5324728557,0.2554129285,0.0905341802,12.58602065
21,0.3036003495,1.986785758,0.9187285079,0.2601163291,1.009958891,29.14726788
24,0.1566034225,0.8671668609,1.042777993,0.3129532082,0.8104137496,19.07702429
25,0.1580975944,0.5432959577,0.6906350971,0.2894770332,0.263388266,11.95650931
26,0.1275108133,0.2902276548,0.2995663939,0.2612176238,0.06204589713,6.018173802
27,0.1132581778,0.5050618334,0.5014005486,0.2700092356,0.2592920877,12.5186744
28,0.4464358923,3.121579527,1.304960119,0.2979953948,1.46073898,31.85472204
29,0.13955315,0.2619684932,0.3072742314,0.2467858627,0.03109828514,9.145758543
30,0.1444089898,0.2701438808,0.2682739327,0.2635101347,0.06717485725,7.243890267
33,0.1148505832,0.4840601285,,,,16.72576266
34,0.1860676054,1.371363069,0.7502836928,0.2648274562,1.318405699,33.27533799
35,0.2266852078,1.902277035,0.8281270407,0.2473937967,2.617122637,25.02966752
36,0.1281999358,0.2985926851,0.3223936305,0.2544354508,0.8471057509,11.83409399
37,0.1253656226,0.206196279,0.2632001326,0.256367474,0.02449554573,12.04923844
38,0.1852796309,0.4073801326,0.1491586723,0.223256983,0.08348986594,8.92210097
39,0.161951288,0.5288239941,0.1162016529,0.2427616825,0.0814173636,18.39301218
40,0.2831131717,0.9249404341,0.3982462656,0.2780024456,0.4597028717,26.91963812
