,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSIDAD NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCUELA DE CIENCIAS AMBIENTALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATORIO DE ANÁLISIS AMBIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTREGA DE RESULTADOS PROYECTO ARCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,País,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contacto,,Julián Gelman Constantin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Análisis solicitados (método),,"EC-OC (Método Niosh), HPAs (Cromatografía de gases acoplada a espectrometría de masas)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resultados entregados (fecha),,"Metales (08 may 2020), EC-OC (3 sep 20), Iones (22 sep 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Analista Responsable:,,Julio C. Murillo Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resultados aprobados por:,,Jorge Herrera Murillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código,Datos Experimentales Metales,,,Concentración Metales,,,,,,,,,,,,,,,,,,,,,,,,Concentración Carbono,,,,,,,,Datos experimentales iones,,,Concentración Iones,,,
