Filtro,,K,K,Ca,Ca,Ti,Ti,Ti,V,V,Mn,Mn,Mn,Fe,Fe,Ni,Ni,Ni,Cu,Cu,Zn,Zn,Zn,As,As,Se,Se,Ba,Ba,Pb,Pb,Pb,Mo,Mo,Sb,Sb
Unidad,,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,Observ,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,ICP-MS,ICP CR,ICP-MS,ICP CR
1,,0.17,,0.81,,0.0148,0.0037,,0.0041,,0.0056,0.005,,0.4107,,0.0027,0.0018,,0.0069,,0.029,0.0167,,0,,0.0006,,NA,,0.0087,0.005,,0.0006,,0.0008,
2,Zn,0.4,,1.05,,0.0183,0.0055,,NA,,0.005,0.0043,,0.2569,,0.0018,0.0012,,0.0068,,0.2387,0.0222,,0.0037,,0.0006,,NA,,0.0229,0.0295,,0.0003,,0.0029,
3,,0.14,,0.71,,0.0087,0.0046,,0.0016,,0.0071,0.0054,,0.2283,,0.0017,0.002,,0.0041,,0.0275,0.0168,,0.0004,,0.0004,,NA,,0.0026,0.0027,,0.0003,,0.0005,
4,,0.06,,0.47,,0.0028,NA,,0.0009,,0.0054,0.0025,,0.1009,,0.001,0.0007,,0.0023,,0.0051,0.0029,,0.0008,,0.0003,,NA,,0.0023,0.0026,,0.0001,,0.0009,
5,,0.07,,0.71,,0.0108,0.012,,0.0016,,0.0063,0.0057,,0.2212,,0.0011,0.0021,,0.0071,,0.0993,0.1436,,0.0065,,0.0018,,NA,,0.0461,0.0721,,0.0006,,0.0052,
6,Ti,0.13,,0.29,,0.0026,0.0003,,0.0002,,0.0057,0.0073,,0.1197,,0.0011,0.002,,0.0059,,0.0254,0.022,,0.0005,,0,,NA,,0.0022,0.0042,,0.0002,,0.003,
7,,0.33,,0.36,,0.0114,0.0067,,NA,,0.0031,0.0046,,0.245,,0.0013,0.0011,,0.0102,,0.0384,0.0238,,0.0058,,0.003,,NA,,0.0628,0.0718,,0.0004,,0.0116,
8,,0.13,,0.81,,0.0204,0.0217,,0.003,,0.0068,0.0077,,0.243,,0.0016,0.0021,,0.0021,,0.0142,0.0163,,0.0003,,0.0002,,NA,,0.0008,0.0022,,0.0002,,0.0007,
9,,0.12,,0.63,,0.0117,0.0021,,0.0019,,0.0027,0.0016,,0.1082,,4E-05,0.0002,,0.005,,0.0189,0.0203,,0.0027,,0,,NA,,0.0045,0.0081,,0.0002,,0.006,
