datestart,n_calmas
2019-04-03,1
2019-04-06,0
2019-04-09,0
2019-04-12,0
2019-04-15,0
2019-04-18,2
2019-04-21,9
2019-04-24,0
2019-04-27,7
2019-04-30,4
2019-05-03,0
2019-05-06,0
2019-05-12,2
2019-05-15,9
2019-05-18,2
2019-05-24,0
2019-05-27,1
2019-05-30,0
2019-06-02,4
2019-06-11,0
2019-06-14,1
2019-06-17,7
2019-06-20,0
2019-06-23,4
2019-06-26,0
2019-06-29,1
2019-07-08,0
2019-07-11,0
2019-07-14,7
2019-07-17,0
2019-07-21,0
2019-07-23,0
2019-07-26,3
2019-07-29,10
2019-08-01,0
2019-08-04,0
2019-08-07,0
2019-08-10,0
2019-08-13,6
2019-08-16,2
2019-08-19,0
2019-08-22,11
2019-08-25,1
2019-08-28,0
2019-08-31,8
2019-09-03,0
2019-09-06,1
2019-09-09,0
2019-09-12,4
2019-09-15,0
2019-09-18,0
2019-09-21,0
2019-09-24,2
2019-09-27,0
2019-09-30,0
2019-10-03,0
2019-10-06,0
2019-10-09,1
2019-10-15,0
2019-10-18,8
2019-10-21,2
2019-10-24,1
2019-10-27,1
2019-10-30,0
2019-11-02,0
2019-11-05,4
2019-11-08,1
2019-11-11,0
2019-11-14,0
2019-11-17,4
2019-11-20,1
2019-11-23,0
2019-11-26,2
2019-11-29,4
2019-12-02,0
2019-12-05,1
2019-12-08,4
2019-12-11,0
2019-12-14,2
2019-12-17,0
2019-12-20,0
2019-12-23,0
2019-12-26,2
2020-01-10,2
2020-01-13,0
2020-01-19,2
2020-01-21,0
2020-01-22,0
2020-01-25,3
2020-01-28,1
2020-01-31,0
2020-02-03,0
2020-02-06,5
2020-02-12,0
2020-02-15,1
2020-02-18,3
2020-02-21,0
2020-02-27,2
2020-03-01,1
2020-03-04,0
