,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,S,Ca,V,Cr,Fe,Cu,As,Se,Sr,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,OCPk6 C,OCPk7 C,OCPk8 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,PM2.5,Na.1,Mg.1,Al,K,Co,Ag,Cd,Ba,Hg-ICPcr
Cl,1.0,0.20122120144931227,0.1501008499547218,0.45168145366392637,0.15789895359624503,,0.3685305099286405,0.42697696516442535,0.09031509992349737,0.6074903060726445,0.15862745297866696,0.3735729154525376,0.29933830574343967,0.5005201823452134,0.200353891743048,0.3786221769894245,0.30597547204378717,0.22717889458312862,,0.4010405443011541,0.24309763767931616,0.18800285099363795,0.45904406606204234,0.014002215443892324,-0.016860306360202987,0.34941947500801435,0.4058874644786836,0.2063615773484451,0.3261473655465642,0.22677681224616125,0.23247159781958374,,,,0.3246531008035737,0.31100057581995777,0.16873511183992296,0.43126215331865697,0.24239112483329853,0.2981147697711127,0.3243016835982292,0.439571147460391,0.00196954666558334,-0.044368560817593806,-0.1333579755143965,0.02249031524489954,0.11036287664927386,0.14323735004869426,0.4523813984636671,0.2963148645867995,-0.06852899775388903
NO3,0.20122120144931227,1.0,0.34670996513139174,-0.10197917036675593,0.7934852872237196,,0.4900681760357429,0.2354141796589032,0.40989826836455706,0.7502649963714689,0.17759710184135669,0.2661334651530382,0.24233023829967112,0.16498017635914777,0.04153976930354891,0.22904853436811856,0.20340218900665802,-0.06881379869797355,,0.2531323917902784,0.40217022308264233,0.08243415966198392,0.6051365401222383,0.24523029348404532,-0.009143696297612608,0.24137680468089565,0.4866692033954738,0.2954365708109696,0.28958835774949626,0.268855337263882,0.28970462783319184,,,,0.5088541827206117,0.5906291282556009,0.24101147775972656,0.4796401386774731,0.11290326148846935,0.03656345117192586,0.09915442147893197,0.6407677034312077,-0.07071771201180652,0.07716981290388135,-0.05756824134024163,-0.2079286093382157,-0.1772356162624241,-0.11428131377113292,0.35005321161909425,0.3385965040613159,-0.4866962593615105
SO4,0.1501008499547218,0.34670996513139174,1.0,0.2634137099753294,0.3722746311892849,,0.07073592132688629,0.38181525613962564,0.08224046355804135,0.8291543691564864,0.40918634699058215,0.4148280957191396,0.21115574181062263,0.012664198099607856,-0.3163576866452799,0.383827084561066,0.029166582268059606,-0.06478624617494524,,0.23504260740969538,0.030782233990981043,-0.033960358367470474,0.33823414257500267,0.15150887238176555,-0.11825952587765953,-0.0781657376691337,0.3355715478320885,-0.1121166736667596,0.05849307950438222,0.42751934990466406,0.3105595208457833,,,,-0.05278152104784342,0.0231778547731474,-0.25334446686237416,0.269702328383465,0.34183353921010906,-0.005970756497323759,-0.09591910578366235,0.1728276510670226,-0.32454816921371704,-0.28898554924927505,-0.3702798822477656,-0.3162446632597716,-0.08975364781669129,-0.08852905079408778,-0.050361291251767935,-0.0389777874275844,-0.25563927023769506
Na,0.45168145366392637,-0.10197917036675593,0.2634137099753294,1.0,-0.02413573780161924,,0.34785450356249115,0.4955904797397964,0.2786837850637966,0.28467017096739705,0.22599841927669212,0.10664396019965645,0.3387687109979149,0.501194675232971,0.18787363314866798,0.2286175300817369,0.2957771568344871,0.14160396399107752,,0.23093233330565605,0.19325914302100472,0.3386972098398264,0.2576807330424914,0.08159198915176342,0.18044112884097618,0.2922419771904347,0.44129464133100244,0.29626745745455174,0.3684123814864855,0.33800961537424684,0.42892579518507823,,,,0.20753980308196734,0.14708546332739197,0.04867116272855618,0.3943857946086224,0.44653374715950156,0.3914814105706105,0.3428253140238128,0.17252456794019103,0.43073737929911554,0.3938499734838397,0.19332479626151275,0.3659550370922784,0.3256410126842177,0.14041556707741412,0.29161310605626034,0.3382685014664649,0.04643156578439308
NH4,0.15789895359624503,0.7934852872237196,0.3722746311892849,-0.02413573780161924,1.0,,0.5055674762934799,0.2644415346625199,0.5059613383039289,0.7192334855676962,0.35439222710880913,0.1234653553155756,0.21276831975735727,0.07930219541286543,0.09899897334906488,0.2209218504860537,0.27348284558848646,-0.008911113554320203,,0.09820343106360221,0.24161872658868383,0.10564653169705457,0.41225121269555715,0.1545765336641972,0.09876116811976754,0.1690218722741902,0.5265793585563276,0.30866047394746216,0.3586618685845837,0.3895197210304202,0.42676861084142226,,,,0.47590122596566364,0.5255556377688978,0.13483776313574192,0.5238879987281236,0.3047502744772888,0.14690135589718675,0.061475711310926065,0.6512280360888221,-0.009446682526976722,0.0743254774485684,0.05158460569772288,-0.162346975571573,-0.11959674630690478,-0.20843180981664705,0.48183461043861125,0.40658676020809603,-0.5650802617636786
Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Orgánico,0.3685305099286405,0.4900681760357429,0.07073592132688629,0.34785450356249115,0.5055674762934799,,1.0,0.5265138769042417,0.7964276535143863,0.5244087752581554,0.173858876192686,0.16822958717681658,0.37609783352780907,0.48048026864455656,0.3160660853966649,0.21504409619546727,0.4029640511544739,-0.10726973546068515,,0.18653647551539546,0.3807723175528738,0.4232622903822355,0.4858389322281417,0.09087427970670706,0.13621821557250807,0.5421574415776583,0.8989664697656787,0.9050153437150168,0.8847905926656914,0.5473441696652598,0.5853273292485803,,,,0.9011793525532318,0.8891135729066549,0.5983851266013892,0.8324140869320411,0.325572170655678,0.4921742728494922,0.692916952786214,0.8414678885178499,0.07373862474421693,0.1451272094908492,0.029258639050748686,0.030345140024798774,-0.08563865985634901,-0.1621340360393256,0.5340011751949912,0.40765597203387494,-0.3257195405918443
C Elemental,0.42697696516442535,0.2354141796589032,0.38181525613962564,0.4955904797397964,0.2644415346625199,,0.5265138769042417,1.0,0.4174510161398704,0.4545466981457771,0.263995016609058,0.2010452704914078,0.4375941292423308,0.38804059209795266,0.12563421151924006,0.12736093644473304,0.5248580471294602,0.08600892803571009,,0.22246064217960415,0.3246722793371958,0.2646774359249242,0.41736903888821203,0.1423727756922732,0.07973354356696517,0.3041380654231929,0.6364220214457977,0.3062855889510689,0.37235456370780406,0.40712085269274434,0.46993156377047074,,,,0.4359667544177677,0.34057956445816884,0.03909930690085803,0.8021850641868276,0.7451962561277639,0.34110095257233974,0.349038349755249,0.48434835070156507,-0.06384698927224672,-0.1137425409679185,-0.41077534982511676,-0.223141819587074,0.11196125412671118,0.16851230219555635,0.42454855896017446,0.3936011755806959,-0.4576995111119506
C Total,0.09031509992349737,0.40989826836455706,0.08224046355804135,0.2786837850637966,0.5059613383039289,,0.7964276535143863,0.4174510161398704,1.0,0.4327965561871815,0.1238977328157982,0.20166058651953966,0.22475130621234493,0.33831989245439903,0.2634550902849947,0.07898447001785155,0.14226753642571605,-0.052356325724450634,,0.0654999931722111,0.2914173866503187,0.3600477936489806,0.32926988713509775,0.07099669687245641,0.2320718763221596,0.3872983031590945,0.6855702535205536,0.712428709698025,0.7123979517954765,0.4317521078486073,0.3625751703821122,,,,0.7414573826849347,0.7039778372875909,0.4706874271818395,0.6543886884277887,0.28668047379660194,0.4412719844474736,0.3981708899451708,0.7350969701675834,0.06364166472923202,0.11463787359088559,-0.03909556208301261,-0.011522623313905763,-0.06264842549721994,-0.13040935473992157,0.5534881643473029,0.43649921770855676,-0.35455569614410876
S,0.6074903060726445,0.7502649963714689,0.8291543691564864,0.28467017096739705,0.7192334855676962,,0.5244087752581554,0.4545466981457771,0.4327965561871815,1.0,0.661544188286839,0.48338773519557565,0.3662282637512345,0.3636359575277618,-0.00116321153326577,0.45362031440534567,0.22743154016749628,0.3114327545808917,,0.298593232858933,0.3799869188335329,0.08475187228471943,0.698656469261188,0.2694768197925664,0.09321737041459886,0.1375350404388427,0.5710340248958403,0.28446073439200864,0.4145983774318042,0.46559995414572836,0.3843097515849767,,,,0.4584696306971537,0.5031428497719134,0.24208299266470268,0.5328665459740644,0.43569273732091657,0.24912504903362395,0.026856706601882725,0.7204760629983891,0.275067567425277,0.29248739224408854,-0.11833865558170516,0.3140148257721537,0.30998936544726996,0.0894939957951059,0.72324882268238,0.36884321182073165,-0.29599289187977484
