,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,S,Ca,V,Cr,Fe,Cu,As,Se,Sr,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,PM2.5,Na.1,Mg.1,Al,K,Co,Ag,Cd,Ba,Hg-ICPcr,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72
Cl,1.0,0.21281947947282762,0.013560426415581668,0.40299693131749686,0.11523886872043865,,0.3754113055367664,0.2419991329636388,0.3852802060545788,0.7858559713000821,0.0003880510286416017,0.1279251424357386,0.26287922615727655,0.31117612775892345,0.3602499179804883,0.602688010245738,-0.013160561127069691,-0.07449365945243505,-0.19294989212129607,0.19045391621426788,0.3357818101340979,0.28954991462745416,0.30130153178450525,-0.042140604698997775,0.08949253744994676,0.4525330126326952,0.37784638751165633,-0.11433686591673793,0.2517913873121203,0.176482922701651,0.20873911671337267,0.27755840367431633,0.11898916385653449,0.6535019380183571,0.3729561671401285,-0.14951479214624924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO3,0.21281947947282762,1.0,0.1892667541264161,0.1206998566607759,0.57181064846128,,0.5026735947091997,0.3920320600742909,0.5268143793519133,0.5760170168680914,-0.17823507896726806,0.4905117088064777,0.3349369501394677,0.2772362451654547,0.15599993255057484,0.37182716245195735,0.5152010686812671,-0.17997909449338859,-0.1346982436081793,0.3458732417854924,0.48153111013650857,0.3706493071608505,0.42255406696818,-0.017805334777234224,0.06691608579217224,0.32586831797825094,0.5642394740613871,-0.2707152717170915,-0.01399707519647667,-0.001615610970151364,-0.08919232322120604,0.019703372706033253,-0.017094792944223794,0.3262800704877701,0.4435974466405506,-0.23893284983948757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4,0.013560426415581668,0.1892667541264161,1.0,0.5776190127852922,0.10774767185246448,,0.1714035184858843,0.3465349396809542,0.21340401022208724,0.8062554058051848,-0.23265419601572498,0.38786357262217164,-0.06616020453899397,-0.023368055710514344,-0.33279235125362566,0.13368870121032564,0.5414442889424217,-0.24375211978373662,-0.0535241625660663,-0.07064103238685299,-0.2682459117242474,-0.3021041089194053,-0.24974499385721372,0.4346852210229447,-0.19828769939397056,-0.23338748431660628,0.22865014811117412,0.032685085576631044,-0.16569106262142216,-0.11823124825224936,-0.2893095459322158,0.07196713189049546,-0.28892313760923605,-0.1974154601913263,-0.14426672836865026,-0.32023890258083954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na,0.40299693131749686,0.1206998566607759,0.5776190127852922,1.0,-0.1661875975997224,,0.17243474111575902,0.2937331738000817,0.20681678438997894,0.7372987474902531,-0.0065096063478527555,0.0506426251803573,0.1939143613294973,0.19151842198739003,-0.04909986299714903,0.24573629998400107,0.15996991129497373,0.712025683768654,0.2397688220204057,-0.09331316067248276,-0.0947091999469715,-0.011273155801353149,-0.058305563480719365,0.47388034396854345,0.01828875871974211,-0.055916902294801306,0.25820719339145315,0.031524836045383496,0.16164666310864012,0.10377893594697692,-0.001787968351687643,0.3105126574224249,0.16667174464630333,0.04676871577925346,0.07315872097247089,-0.11706584732473611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4,0.11523886872043865,0.57181064846128,0.10774767185246448,-0.1661875975997224,1.0,,0.4058415178946546,0.10249031253481367,0.30193980713685337,0.24751957526256108,-0.051159581348195045,0.5033331970706265,0.3329312228436977,0.04202473257686231,0.1629123809983584,0.3301628805498348,0.3628883338564534,-0.45496049097269586,-0.33535576910124465,0.2027571802717109,0.3411064934381461,0.252824746596544,0.38630699491538695,-0.24581015778854354,0.015575703621404514,0.16848661955867728,0.2983482387100452,-0.15561773493044176,-0.024413215650461142,-0.059691201461756195,-0.020671355309141805,-0.056398451701468934,-0.1028326868736694,0.43013666226069364,0.3982339253458719,-0.2109799726975177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Orgánico,0.3754113055367664,0.5026735947091997,0.1714035184858843,0.17243474111575902,0.4058415178946546,,1.0,0.4436098321482423,0.9913785170287344,0.5868169182806336,-0.03841760244431978,0.363443376872693,0.24988800593405727,0.4606431609586371,0.2058325791219656,0.6421462642633284,-0.026425661211937825,-0.5855024457894085,0.2700201098046515,0.37981765052157623,0.3069966452391167,0.5013905680196971,0.36980032588265654,0.08713433523743996,0.1811418428031761,0.5004077716235661,0.8871478431051902,-0.15459647296763265,0.04431037955723928,0.13552406544395085,0.10494614341684255,0.11217509566915727,0.040632054508466235,0.3838714523753635,0.3864832726146947,-0.09303316864698528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Elemental,0.2419991329636388,0.3920320600742909,0.3465349396809542,0.2937331738000817,0.10249031253481367,,0.4436098321482423,1.0,0.5589328203952231,0.6056122196084691,-0.08900595206698095,0.33506172792257216,0.2632207375974963,0.2309706220725456,0.09396901327406343,0.3844824652083057,0.12954960327747983,-0.11936279682494093,-0.1604885557236663,0.3050959289484091,0.3868280509523504,0.21805379227934363,0.2921304719156212,0.1671828166411073,-0.11574538225248732,0.38519453480496346,0.451704756760519,-0.1663474348892144,0.03833036322987084,-0.16408671987970244,-0.135370231264979,0.3068901874010079,0.19568981440747601,0.3881622455320326,0.38591024854729644,-0.3767697045122962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Total,0.3852802060545788,0.5268143793519133,0.21340401022208724,0.20681678438997894,0.30193980713685337,,0.9913785170287344,0.5589328203952231,1.0,0.6465047217356791,-0.05724086918369252,0.38572533779912055,0.2693435852434078,0.4617751233837905,0.20440682879992647,0.6505319627076046,-0.01025367695650467,-0.525042172283905,0.22139507242895198,0.39893829392537616,0.3434286343383373,0.48978795322933955,0.3840777490042136,0.10933870781019533,0.1461640352423387,0.5217872842153587,0.8879911361482453,-0.1671614495333174,0.04650865648360001,0.10144010221521278,0.07710899193226167,0.14846074128602674,0.06133590787874233,0.4115962543152421,0.41501679484089327,-0.1432041657358491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,0.7858559713000821,0.5760170168680914,0.8062554058051848,0.7372987474902531,0.24751957526256108,,0.5868169182806336,0.6056122196084691,0.6465047217356791,1.0,0.18213402189541916,0.7271161264789547,0.7815790025878415,0.38104647400309094,0.310715075295471,0.44612738764602855,0.09185383915484382,0.19386181580939799,,0.06776989937392461,0.38746844402159636,0.5726517629801023,0.7515901005108145,-0.10497441664144959,0.4712781609768424,0.5262875053558914,0.4254744379064598,0.29258588763981297,0.17364579957121506,0.24480175152863806,0.3880509749302108,0.26356968164136513,-0.04645457650304089,0.6903971023098101,0.5265696627813827,-0.7470499378989145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
