date,NO ,NO2,NOx ,CO ,PM10
1/1/14 00:00,2.0,24.0,25.0,0.20,39
1/1/14 01:00,4.0,37.0,40.0,0.30,49
1/1/14 02:00,12.0,34.0,46.0,0.40,29
1/1/14 03:00,12.0,28.0,39.0,0.50,26
1/1/14 04:00,9.0,30.0,39.0,0.40,36
1/1/14 05:00,9.0,21.0,29.0,0.30,24
1/1/14 06:00,10.0,17.0,27.0,0.30,7
1/1/14 07:00,8.0,14.0,22.0,0.30,6
1/1/14 08:00,3.0,10.0,13.0,0.20,1
1/1/14 09:00,3.0,10.0,13.0,0.20,16
1/1/14 10:00,1.0,9.0,10.0,0.20,27
1/1/14 11:00,1.0,8.0,10.0,0.20,13
1/1/14 12:00,2.0,9.0,11.0,0.20,16
1/1/14 13:00,2.0,9.0,10.0,0.20,9
1/1/14 14:00,1.0,9.0,10.0,0.20,12
1/1/14 15:00,3.0,11.0,13.0,0.20,10
1/1/14 16:00,2.0,11.0,13.0,0.20,18
1/1/14 17:00,3.0,11.0,14.0,0.20,30
1/1/14 18:00,1.0,14.0,15.0,0.30,26
1/1/14 19:00,2.0,16.0,17.0,0.30,20
1/1/14 20:00,5.0,28.0,32.0,0.40,43
1/1/14 21:00,2.0,30.0,32.0,0.40,28
1/1/14 22:00,0.0,23.0,23.0,0.40,34
1/1/14 23:00,1.0,23.0,25.0,0.40,40
2/1/14 00:00,2.0,28.0,30.0,0.30,131
2/1/14 01:00,1.0,20.0,21.0,0.30,104
2/1/14 02:00,3.0,22.0,24.0,0.20,0
2/1/14 03:00,1.0,14.0,16.0,0.20,7
2/1/14 04:00,2.0,14.0,15.0,0.20,9
2/1/14 05:00,2.0,12.0,14.0,0.10,28
2/1/14 06:00,7.0,12.0,19.0,0.10,5
2/1/14 07:00,9.0,16.0,25.0,0.30,11
2/1/14 08:00,13.0,17.0,31.0,0.30,11
2/1/14 09:00,19.0,18.0,37.0,0.40,1
2/1/14 10:00,19.0,20.0,38.0,0.40,20
2/1/14 11:00,17.0,19.0,35.0,0.40,15
2/1/14 12:00,21.0,19.0,40.0,0.40,8
2/1/14 13:00,32.0,24.0,56.0,0.60,11
2/1/14 14:00,28.0,20.0,48.0,0.40,12
2/1/14 15:00,19.0,14.0,33.0,0.30,16
2/1/14 16:00,29.0,19.0,48.0,0.40,28
2/1/14 17:00,24.0,20.0,44.0,0.40,26
2/1/14 18:00,24.0,21.0,45.0,0.40,40
2/1/14 19:00,23.0,22.0,44.0,0.40,27
2/1/14 20:00,40.0,27.0,67.0,0.50,33
2/1/14 21:00,65.0,33.0,97.0,0.70,43
2/1/14 22:00,37.0,29.0,66.0,0.60,52
2/1/14 23:00,15.0,21.0,36.0,0.20,51
3/1/14 00:00,4.0,15.0,19.0,0.10,36
3/1/14 01:00,2.0,8.0,10.0,0.00,45
3/1/14 02:00,1.0,7.0,8.0,0.01,30
3/1/14 03:00,2.0,10.0,11.0,0.03,30
3/1/14 04:00,3.0,11.0,14.0,0.01,29
3/1/14 05:00,4.0,11.0,15.0,0.03,29
3/1/14 06:00,16.0,13.0,29.0,0.10,26
3/1/14 07:00,19.0,13.0,33.0,0.10,17
3/1/14 08:00,17.0,11.0,29.0,0.20,23
3/1/14 09:00,20.0,11.0,31.0,0.10,34
3/1/14 10:00,16.0,11.0,27.0,0.10,30
3/1/14 11:00,19.0,12.0,30.0,0.20,26
3/1/14 12:00,23.0,14.0,36.0,0.10,26
3/1/14 13:00,23.0,15.0,38.0,0.30,32
3/1/14 14:00,27.0,17.0,44.0,0.20,24
3/1/14 15:00,23.0,15.0,38.0,0.20,29
3/1/14 16:00,21.0,15.0,37.0,0.20,28
3/1/14 17:00,22.0,17.0,39.0,0.20,31
3/1/14 18:00,25.0,18.0,42.0,0.20,38
3/1/14 19:00,27.0,18.0,46.0,0.20,26
3/1/14 20:00,29.0,20.0,49.0,0.30,31
3/1/14 21:00,41.0,22.0,63.0,0.40,29
3/1/14 22:00,48.0,25.0,73.0,0.50,33
3/1/14 23:00,35.0,26.0,62.0,0.40,42
4/1/14 00:00,34.0,26.0,60.0,0.40,51
4/1/14 01:00,33.0,26.0,59.0,0.40,46
4/1/14 02:00,29.0,26.0,55.0,0.30,39
4/1/14 03:00,33.0,26.0,59.0,0.30,44
4/1/14 04:00,37.0,26.0,63.0,0.20,40
4/1/14 05:00,28.0,23.0,51.0,0.20,30
4/1/14 06:00,32.0,22.0,54.0,0.20,29
