date,NO,NO2,Nox,CO,PM10
1/1/14 00:00,NA,NA,NA,NA,NA
1/1/14 01:00,NA,NA,NA,NA,NA
1/1/14 02:00,NA,NA,NA,NA,NA
1/1/14 03:00,NA,NA,NA,NA,NA
1/1/14 04:00,NA,NA,NA,NA,NA
1/1/14 05:00,NA,NA,NA,NA,NA
1/1/14 06:00,NA,NA,NA,NA,NA
1/1/14 07:00,NA,NA,NA,NA,NA
1/1/14 08:00,NA,NA,NA,NA,NA
1/1/14 09:00,NA,NA,NA,NA,NA
1/1/14 10:00,NA,NA,NA,NA,NA
1/1/14 11:00,NA,NA,NA,NA,NA
1/1/14 12:00,NA,NA,NA,NA,NA
1/1/14 13:00,NA,NA,NA,NA,NA
1/1/14 14:00,NA,NA,NA,NA,NA
1/1/14 15:00,NA,NA,NA,NA,NA
1/1/14 16:00,NA,NA,NA,NA,NA
1/1/14 17:00,NA,NA,NA,NA,NA
1/1/14 18:00,NA,NA,NA,NA,NA
1/1/14 19:00,NA,NA,NA,NA,NA
1/1/14 20:00,NA,NA,NA,NA,NA
1/1/14 21:00,NA,NA,NA,NA,NA
1/1/14 22:00,NA,NA,NA,NA,NA
1/1/14 23:00,NA,NA,NA,NA,NA
2/1/14 00:00,NA,NA,NA,NA,NA
2/1/14 01:00,NA,NA,NA,NA,NA
2/1/14 02:00,NA,NA,NA,NA,NA
2/1/14 03:00,NA,NA,NA,NA,NA
2/1/14 04:00,NA,NA,NA,NA,NA
2/1/14 05:00,NA,NA,NA,NA,NA
2/1/14 06:00,NA,NA,NA,NA,NA
2/1/14 07:00,NA,NA,NA,NA,NA
2/1/14 08:00,NA,NA,NA,NA,NA
2/1/14 09:00,NA,NA,NA,NA,NA
2/1/14 10:00,NA,NA,NA,NA,NA
2/1/14 11:00,NA,NA,NA,NA,NA
2/1/14 12:00,NA,NA,NA,NA,NA
2/1/14 13:00,NA,NA,NA,NA,NA
2/1/14 14:00,NA,NA,NA,NA,NA
2/1/14 15:00,NA,NA,NA,NA,NA
2/1/14 16:00,NA,NA,NA,NA,NA
2/1/14 17:00,NA,NA,NA,NA,NA
2/1/14 18:00,NA,NA,NA,NA,NA
2/1/14 19:00,NA,NA,NA,NA,NA
2/1/14 20:00,NA,NA,NA,NA,NA
2/1/14 21:00,NA,NA,NA,NA,NA
2/1/14 22:00,NA,NA,NA,NA,NA
2/1/14 23:00,NA,NA,NA,NA,NA
3/1/14 00:00,NA,NA,NA,NA,NA
3/1/14 01:00,NA,NA,NA,NA,NA
3/1/14 02:00,NA,NA,NA,NA,NA
3/1/14 03:00,NA,NA,NA,NA,NA
3/1/14 04:00,NA,NA,NA,NA,NA
3/1/14 05:00,NA,NA,NA,NA,NA
3/1/14 06:00,NA,NA,NA,NA,NA
3/1/14 07:00,NA,NA,NA,NA,NA
3/1/14 08:00,NA,NA,NA,NA,NA
3/1/14 09:00,NA,NA,NA,NA,NA
3/1/14 10:00,NA,NA,NA,NA,NA
3/1/14 11:00,NA,NA,NA,NA,NA
3/1/14 12:00,NA,NA,NA,NA,NA
3/1/14 13:00,NA,NA,NA,NA,NA
3/1/14 14:00,NA,NA,NA,NA,NA
3/1/14 15:00,NA,NA,NA,NA,NA
3/1/14 16:00,NA,NA,NA,NA,NA
3/1/14 17:00,NA,NA,NA,NA,NA
3/1/14 18:00,NA,NA,NA,NA,NA
3/1/14 19:00,NA,NA,NA,NA,NA
3/1/14 20:00,NA,NA,NA,NA,NA
3/1/14 21:00,NA,NA,NA,NA,NA
3/1/14 22:00,NA,NA,NA,NA,NA
3/1/14 23:00,NA,NA,NA,NA,NA
4/1/14 00:00,NA,NA,NA,NA,NA
4/1/14 01:00,NA,NA,NA,NA,NA
4/1/14 02:00,NA,NA,NA,NA,NA
4/1/14 03:00,NA,NA,NA,NA,NA
4/1/14 04:00,NA,NA,NA,NA,NA
4/1/14 05:00,NA,NA,NA,NA,NA
4/1/14 06:00,NA,NA,NA,NA,NA
4/1/14 07:00,NA,NA,NA,NA,NA
4/1/14 08:00,NA,NA,NA,NA,NA
4/1/14 09:00,NA,NA,NA,NA,NA
4/1/14 10:00,NA,NA,NA,NA,NA
4/1/14 11:00,NA,NA,NA,NA,NA
4/1/14 12:00,NA,NA,NA,NA,NA
4/1/14 13:00,NA,NA,NA,NA,NA
4/1/14 14:00,NA,NA,NA,NA,NA
4/1/14 15:00,NA,NA,NA,NA,NA
4/1/14 16:00,NA,NA,NA,NA,NA
4/1/14 17:00,NA,NA,NA,NA,NA
4/1/14 18:00,NA,NA,NA,NA,NA
4/1/14 19:00,NA,NA,NA,NA,NA
4/1/14 20:00,NA,NA,NA,NA,NA
4/1/14 21:00,NA,NA,NA,NA,NA
4/1/14 22:00,NA,NA,NA,NA,NA
4/1/14 23:00,NA,NA,NA,NA,NA
5/1/14 00:00,NA,NA,NA,NA,NA
5/1/14 01:00,NA,NA,NA,NA,NA
5/1/14 02:00,NA,NA,NA,NA,NA
5/1/14 03:00,NA,NA,NA,NA,NA
5/1/14 04:00,NA,NA,NA,NA,NA
5/1/14 05:00,NA,NA,NA,NA,NA
5/1/14 06:00,NA,NA,NA,NA,NA
5/1/14 07:00,NA,NA,NA,NA,NA
5/1/14 08:00,NA,NA,NA,NA,NA
5/1/14 09:00,NA,NA,NA,NA,NA
5/1/14 10:00,NA,NA,NA,NA,NA
