"date","NO","NO2","NOX","CO","PM10","SO2","estacion"
2019-01-01 00:00:00,2,10,12,0.4,13,NA,"La Boca"
2019-01-01 01:00:00,4,11,15,0.4,18,NA,"La Boca"
2019-01-01 02:00:00,4,12,16,0.4,19,NA,"La Boca"
2019-01-01 03:00:00,4,11,16,0.4,21,NA,"La Boca"
2019-01-01 04:00:00,2,9,11,0.4,22,NA,"La Boca"
2019-01-01 05:00:00,3,8,11,0.4,19,NA,"La Boca"
2019-01-01 06:00:00,7,9,16,0.5,17,NA,"La Boca"
2019-01-01 07:00:00,5,9,14,0.4,11,NA,"La Boca"
2019-01-01 08:00:00,9,8,17,0.4,18,NA,"La Boca"
2019-01-01 09:00:00,5,8,13,0.5,15,NA,"La Boca"
2019-01-01 10:00:00,7,5,12,0.4,19,NA,"La Boca"
2019-01-01 11:00:00,3,6,9,0.4,18,NA,"La Boca"
2019-01-01 12:00:00,4,5,9,0.5,19,NA,"La Boca"
2019-01-01 13:00:00,7,7,14,0.5,25,NA,"La Boca"
2019-01-01 14:00:00,6,7,13,0.5,27,NA,"La Boca"
2019-01-01 15:00:00,5,7,12,0.5,22,NA,"La Boca"
2019-01-01 16:00:00,7,7,14,0.5,14,NA,"La Boca"
2019-01-01 17:00:00,9,10,19,0.6,41,NA,"La Boca"
2019-01-01 18:00:00,13,12,25,0.7,64,NA,"La Boca"
2019-01-01 19:00:00,7,10,17,0.6,2,NA,"La Boca"
2019-01-01 20:00:00,10,9,19,0.6,17,NA,"La Boca"
2019-01-01 21:00:00,10,11,21,0.6,42,NA,"La Boca"
2019-01-01 22:00:00,7,10,17,0.6,37,NA,"La Boca"
2019-01-01 23:00:00,5,8,14,0.5,12,NA,"La Boca"
2019-01-02 00:00:00,6,10,16,0.5,11,NA,"La Boca"
2019-01-02 01:00:00,3,7,10,0.5,4,NA,"La Boca"
2019-01-02 02:00:00,3,8,11,0.5,5,NA,"La Boca"
2019-01-02 03:00:00,2,7,9,0.5,5,NA,"La Boca"
2019-01-02 04:00:00,6,8,14,0.5,11,NA,"La Boca"
2019-01-02 05:00:00,25,12,36,0.6,8,NA,"La Boca"
2019-01-02 06:00:00,44,13,57,0.7,15,NA,"La Boca"
2019-01-02 07:00:00,46,12,59,0.7,24,NA,"La Boca"
2019-01-02 08:00:00,47,12,59,0.7,24,NA,"La Boca"
2019-01-02 09:00:00,49,15,64,0.7,25,NA,"La Boca"
2019-01-02 10:00:00,32,14,46,0.7,17,NA,"La Boca"
2019-01-02 11:00:00,35,20,55,0.7,13,NA,"La Boca"
2019-01-02 12:00:00,71,26,97,0.8,65,NA,"La Boca"
2019-01-02 13:00:00,12,17,29,0.6,57,NA,"La Boca"
2019-01-02 14:00:00,20,17,38,0.6,0,NA,"La Boca"
2019-01-02 15:00:00,12,15,27,0.6,3,NA,"La Boca"
2019-01-02 16:00:00,15,19,33,0.7,1,NA,"La Boca"
2019-01-02 17:00:00,7,19,26,0.7,9,NA,"La Boca"
2019-01-02 18:00:00,9,20,29,0.7,18,NA,"La Boca"
2019-01-02 19:00:00,12,22,35,0.7,12,NA,"La Boca"
2019-01-02 20:00:00,4,27,30,0.7,20,NA,"La Boca"
2019-01-02 21:00:00,3,24,28,0.6,16,NA,"La Boca"
2019-01-02 22:00:00,2,23,24,0.6,12,NA,"La Boca"
2019-01-02 23:00:00,0,20,20,0.5,12,NA,"La Boca"
2019-01-03 00:00:00,0,27,27,0.4,6,NA,"La Boca"
2019-01-03 01:00:00,0,10,10,0.3,12,NA,"La Boca"
2019-01-03 02:00:00,0,7,7,0.3,10,NA,"La Boca"
2019-01-03 03:00:00,0,7,7,0.2,17,NA,"La Boca"
2019-01-03 04:00:00,1,8,9,0.2,14,NA,"La Boca"
2019-01-03 05:00:00,4,12,16,0.2,14,NA,"La Boca"
2019-01-03 06:00:00,16,14,30,0.3,NA,NA,"La Boca"
2019-01-03 07:00:00,17,12,29,0.2,NA,NA,"La Boca"
2019-01-03 08:00:00,24,11,35,0.3,NA,NA,"La Boca"
2019-01-03 09:00:00,18,8,27,0.2,NA,NA,"La Boca"
2019-01-03 10:00:00,17,9,26,0.3,NA,NA,"La Boca"
2019-01-03 11:00:00,32,14,46,0.3,NA,NA,"La Boca"
2019-01-03 12:00:00,31,13,45,0.3,15,NA,"La Boca"
2019-01-03 13:00:00,28,16,44,0.3,29,NA,"La Boca"
2019-01-03 14:00:00,28,18,46,0.3,35,NA,"La Boca"
2019-01-03 15:00:00,31,18,50,0.3,33,NA,"La Boca"
2019-01-03 16:00:00,38,18,56,0.4,28,NA,"La Boca"
2019-01-03 17:00:00,44,17,61,0.4,20,NA,"La Boca"
2019-01-03 18:00:00,34,19,53,0.4,31,NA,"La Boca"
2019-01-03 19:00:00,31,22,53,0.3,31,NA,"La Boca"
2019-01-03 20:00:00,30,26,56,0.4,10,NA,"La Boca"
2019-01-03 21:00:00,35,21,56,0.4,10,NA,"La Boca"
2019-01-03 22:00:00,30,23,53,0.4,13,NA,"La Boca"
2019-01-03 23:00:00,24,21,44,0.3,11,NA,"La Boca"
2019-01-04 00:00:00,22,16,39,0.4,8,NA,"La Boca"
2019-01-04 01:00:00,26,15,41,0.3,9,NA,"La Boca"
2019-01-04 02:00:00,6,13,20,0.3,11,NA,"La Boca"
2019-01-04 03:00:00,7,21,28,0.3,11,NA,"La Boca"
2019-01-04 04:00:00,14,19,32,0.3,14,NA,"La Boca"
2019-01-04 05:00:00,37,17,54,0.4,23,NA,"La Boca"
2019-01-04 06:00:00,61,16,78,0.5,28,NA,"La Boca"
2019-01-04 07:00:00,71,15,86,0.5,22,NA,"La Boca"
2019-01-04 08:00:00,60,18,78,0.5,26,NA,"La Boca"
2019-01-04 09:00:00,74,26,99,0.5,32,NA,"La Boca"
2019-01-04 10:00:00,60,22,82,0.5,33,NA,"La Boca"
2019-01-04 11:00:00,37,25,62,0.4,42,NA,"La Boca"
2019-01-04 12:00:00,38,28,66,0.4,NA,NA,"La Boca"
2019-01-04 13:00:00,32,24,57,0.4,15,NA,"La Boca"
2019-01-04 14:00:00,34,25,58,NA,4,NA,"La Boca"
2019-01-04 15:00:00,NA,NA,NA,NA,0,NA,"La Boca"
2019-01-04 16:00:00,49,25,74,0.6,4,NA,"La Boca"
2019-01-04 17:00:00,50,25,75,0.7,12,NA,"La Boca"
2019-01-04 18:00:00,43,32,75,0.6,31,NA,"La Boca"
2019-01-04 19:00:00,47,44,91,0.7,43,NA,"La Boca"
2019-01-04 20:00:00,32,41,73,0.6,26,NA,"La Boca"
2019-01-04 21:00:00,29,39,68,0.7,26,NA,"La Boca"
2019-01-04 22:00:00,13,39,52,0.7,28,NA,"La Boca"
2019-01-04 23:00:00,13,39,52,0.6,33,NA,"La Boca"
2019-01-05 00:00:00,14,26,39,0.4,18,NA,"La Boca"
2019-01-05 01:00:00,11,21,32,0.4,22,NA,"La Boca"
2019-01-05 02:00:00,6,20,25,0.4,24,NA,"La Boca"
2019-01-05 03:00:00,5,14,19,0.4,15,NA,"La Boca"
2019-01-05 04:00:00,8,19,27,0.4,12,NA,"La Boca"
2019-01-05 05:00:00,17,23,40,0.3,22,NA,"La Boca"
2019-01-05 06:00:00,19,19,39,0.3,26,NA,"La Boca"
2019-01-05 07:00:00,34,17,51,0.3,45,NA,"La Boca"
2019-01-05 08:00:00,28,18,46,0.3,69,NA,"La Boca"
2019-01-05 09:00:00,28,17,45,0.3,48,NA,"La Boca"
2019-01-05 10:00:00,34,17,51,0.3,41,NA,"La Boca"
2019-01-05 11:00:00,29,18,47,0.3,54,NA,"La Boca"
2019-01-05 12:00:00,24,16,40,0.3,29,NA,"La Boca"
2019-01-05 13:00:00,27,15,42,0.3,27,NA,"La Boca"
2019-01-05 14:00:00,22,14,36,0.3,24,NA,"La Boca"
2019-01-05 15:00:00,13,15,28,0.3,22,NA,"La Boca"
2019-01-05 16:00:00,13,16,30,0.3,49,NA,"La Boca"
2019-01-05 17:00:00,18,16,33,0.3,55,NA,"La Boca"
2019-01-05 18:00:00,12,13,25,0.3,110,NA,"La Boca"
2019-01-05 19:00:00,3,14,17,0.3,50,NA,"La Boca"
2019-01-05 20:00:00,5,28,33,0.5,16,NA,"La Boca"
2019-01-05 21:00:00,19,22,42,0.5,12,NA,"La Boca"
2019-01-05 22:00:00,18,19,36,0.5,12,NA,"La Boca"
2019-01-05 23:00:00,24,17,41,0.5,10,NA,"La Boca"
2019-01-06 00:00:00,11,15,26,0.4,18,NA,"La Boca"
2019-01-06 01:00:00,11,15,26,0.4,17,NA,"La Boca"
2019-01-06 02:00:00,5,14,19,0.3,12,NA,"La Boca"
2019-01-06 03:00:00,10,22,32,0.4,16,NA,"La Boca"
2019-01-06 04:00:00,18,25,42,0.4,16,NA,"La Boca"
2019-01-06 05:00:00,15,20,34,0.4,11,NA,"La Boca"
2019-01-06 06:00:00,21,21,42,0.5,32,NA,"La Boca"
2019-01-06 07:00:00,25,21,46,0.4,32,NA,"La Boca"
2019-01-06 08:00:00,22,21,43,0.4,1,NA,"La Boca"
2019-01-06 09:00:00,11,19,30,0.3,19,NA,"La Boca"
2019-01-06 10:00:00,17,25,42,0.4,10,NA,"La Boca"
2019-01-06 11:00:00,13,25,38,0.4,7,NA,"La Boca"
2019-01-06 12:00:00,22,23,45,0.4,8,NA,"La Boca"
2019-01-06 13:00:00,9,23,31,0.5,16,NA,"La Boca"
2019-01-06 14:00:00,0,11,12,0.4,26,NA,"La Boca"
2019-01-06 15:00:00,2,15,17,0.3,2,NA,"La Boca"
2019-01-06 16:00:00,2,13,15,0.3,17,NA,"La Boca"
2019-01-06 17:00:00,2,14,15,0.3,8,NA,"La Boca"
2019-01-06 18:00:00,2,21,23,0.4,13,NA,"La Boca"
2019-01-06 19:00:00,0,21,21,0.4,32,NA,"La Boca"
2019-01-06 20:00:00,1,27,28,0.4,18,NA,"La Boca"
2019-01-06 21:00:00,5,30,35,0.5,21,NA,"La Boca"
2019-01-06 22:00:00,16,25,40,0.5,22,NA,"La Boca"
2019-01-06 23:00:00,19,29,47,0.5,33,NA,"La Boca"
2019-01-07 00:00:00,25,31,55,0.6,38,NA,"La Boca"
2019-01-07 01:00:00,8,33,41,0.6,23,NA,"La Boca"
2019-01-07 02:00:00,1,25,26,0.4,10,NA,"La Boca"
2019-01-07 03:00:00,4,29,33,0.4,20,NA,"La Boca"
2019-01-07 04:00:00,2,29,31,0.5,26,NA,"La Boca"
2019-01-07 05:00:00,5,32,37,0.4,25,NA,"La Boca"
2019-01-07 06:00:00,20,28,48,0.5,15,NA,"La Boca"
2019-01-07 07:00:00,19,28,47,0.5,13,NA,"La Boca"
2019-01-07 08:00:00,14,26,41,0.4,17,NA,"La Boca"
