date,t2,rh2,slp,wspd,wdir,site
2019-01-01 00:00:00,  24.90,78,1011.10,   1.67,50,BUENOS AIRES
2019-01-01 01:00:00,  25.30,67,1010.30,   1.67,320,BUENOS AIRES
2019-01-01 02:00:00,  25.30,64,1010.20,   1.67,360,BUENOS AIRES
2019-01-01 03:00:00,  24.90,66,1010.20,   3.61,360,BUENOS AIRES
2019-01-01 04:00:00,  24.20,72,1009.90,   1.11,50,BUENOS AIRES
2019-01-01 05:00:00,  24.00,76,1010.50,   1.94,320,BUENOS AIRES
2019-01-01 06:00:00,  23.60,80,1010.60,   1.67,360,BUENOS AIRES
2019-01-01 07:00:00,  23.90,82,1010.90,   3.61,360,BUENOS AIRES
2019-01-01 08:00:00,  24.80,81,1011.20,   1.67,360,BUENOS AIRES
2019-01-01 09:00:00,  25.80,79,1011.20,   2.50,360,BUENOS AIRES
2019-01-01 10:00:00,  27.20,75,1010.70,   1.94,360,BUENOS AIRES
2019-01-01 11:00:00,  27.80,73,1010.50,   3.61,360,BUENOS AIRES
2019-01-01 12:00:00,  29.00,71,1010.10,   3.61,360,BUENOS AIRES
2019-01-01 13:00:00,  30.60,66,1009.30,   2.50,360,BUENOS AIRES
2019-01-01 14:00:00,  30.70,68,1008.50,   3.61,320,BUENOS AIRES
2019-01-01 15:00:00,  31.20,69,1007.70,   1.94,50,BUENOS AIRES
2019-01-01 16:00:00,  32.70,65,1006.30,   4.72,360,BUENOS AIRES
2019-01-01 17:00:00,  32.10,65,1005.80,   3.61,320,BUENOS AIRES
2019-01-01 18:00:00,  29.50,80,1005.60,   1.67,320,BUENOS AIRES
2019-01-01 19:00:00,  29.60,74,1005.50,   3.06,320,BUENOS AIRES
2019-01-01 20:00:00,  29.20,76,1005.30,   1.67,360,BUENOS AIRES
2019-01-01 21:00:00,  28.70,78,1006.60,   1.67,360,BUENOS AIRES
2019-01-01 22:00:00,  28.70,78,1007.30,   1.94,320,BUENOS AIRES
2019-01-01 23:00:00,  28.60,80,1007.30,   4.17,320,BUENOS AIRES
2019-01-02 00:00:00,  27.90,80,1007.80,   3.06,320,BUENOS AIRES
2019-01-02 01:00:00,  27.50,82,1006.20,   3.61,320,BUENOS AIRES
2019-01-02 02:00:00,  27.10,84,1005.30,   1.94,320,BUENOS AIRES
2019-01-02 03:00:00,  26.90,78,1004.90,   3.06,270,BUENOS AIRES
2019-01-02 04:00:00,  26.60,78,1005.50,   2.50,320,BUENOS AIRES
2019-01-02 05:00:00,  26.20,80,1005.50,   1.11,320,BUENOS AIRES
2019-01-02 06:00:00,  26.10,82,1005.50,   1.67,360,BUENOS AIRES
2019-01-02 07:00:00,  26.30,83,1005.50,   1.67,320,BUENOS AIRES
2019-01-02 08:00:00,  27.40,80,1005.20,   1.67,270,BUENOS AIRES
2019-01-02 09:00:00,  28.20,79,1004.60,   1.67,320,BUENOS AIRES
2019-01-02 10:00:00,  29.00,80,1004.10,   2.50,320,BUENOS AIRES
2019-01-02 11:00:00,  30.30,74,1004.30,   4.17,270,BUENOS AIRES
2019-01-02 12:00:00,  32.10,69,1002.80,   1.67,270,BUENOS AIRES
2019-01-02 13:00:00,  30.80,75,1002.80,   1.11,270,BUENOS AIRES
2019-01-02 14:00:00,  25.20,92,1003.80,   1.94,180,BUENOS AIRES
2019-01-02 15:00:00,  25.00,90,1002.00,   3.06,320,BUENOS AIRES
2019-01-02 16:00:00,  25.10,89,1003.00,   1.94,90,BUENOS AIRES
2019-01-02 17:00:00,  25.00,91,1002.30,   0.56,90,BUENOS AIRES
2019-01-02 18:00:00,  24.80,90,1003.30,   0.56,140,BUENOS AIRES
2019-01-02 19:00:00,  24.60,88,1003.00,   1.11,180,BUENOS AIRES
2019-01-02 20:00:00,  24.30,88,1005.20,   1.67,180,BUENOS AIRES
2019-01-02 21:00:00,  24.40,86,1005.30,   3.61,140,BUENOS AIRES
2019-01-02 22:00:00,  24.60,86,1006.50,   1.94,140,BUENOS AIRES
2019-01-02 23:00:00,  24.60,83,1007.20,   2.50,180,BUENOS AIRES
2019-01-03 00:00:00,  24.00,82,1007.80,   5.28,180,BUENOS AIRES
2019-01-03 01:00:00,  22.20,68,1008.60,   6.67,140,BUENOS AIRES
2019-01-03 02:00:00,  21.20,71,1009.00,   4.72,140,BUENOS AIRES
2019-01-03 03:00:00,  20.00,59,1010.00,   4.72,140,BUENOS AIRES
2019-01-03 04:00:00,  19.20,64,1010.20,   4.17,140,BUENOS AIRES
2019-01-03 05:00:00,  18.40,57,1010.80,   4.72,140,BUENOS AIRES
2019-01-03 06:00:00,  17.50,67,1012.00,   3.61,140,BUENOS AIRES
2019-01-03 07:00:00,  17.40,67,1012.80,   1.67,140,BUENOS AIRES
2019-01-03 08:00:00,  17.60,65,1012.80,   2.50,140,BUENOS AIRES
2019-01-03 09:00:00,  17.80,53,1013.40,   3.06,140,BUENOS AIRES
