"ID";"volumen_aforo";"area_analizada";"area_material";"Be";"Na";"Mg";"Al";"K";"Ca";"Ti";"V";"Cr";"Mn";"Fe";"Co";"Ni";"Cu";"Zn";"As";"Se";"Mo";"Ag";"Cd";"Sb";"Ba";"Hg";"Pb";"Lote";"Blanco"
1;50;42,95;406,4508;0,275;17652,4248124886;1405,01318992178;1135,84697983108;680,195823134971;3235,85061668122;33,299487404599;3,79216338044766;12,9457786127398;9,75643358448175;436,460462665483;0,592607879936329;11,7425145071752;11,9838361227837;99,2937418884496;0,25;0,06;1,30008264089776;0,05;0,265;1,90547371262114;51,8629251531212;0,11;6,4208893013559;"4";"0"
2;50;44,45;406,4508;0,275;18838,9461355549;1388,17459940809;1434,18190410409;1707,19277102121;3808,45418238735;29,7780361596209;5,05344025245408;13,8989816369018;9,32326666152402;397,517232747175;0,4689508315102;12,7043617879391;25,7712344914869;114,2011989022;1,70501748317652;0,06;1,422996082665;0,318710597528052;0,762088175253281;5,66389576024938;56,3372452032048;0,13;54,8462949980415;"4";"0"
3;50;42,95;406,4508;0,275;16933,2008829109;1319,24355175672;1220,07356984332;749,833653683357;3460,38963674335;34,8664273975918;6,3807666968976;14,3616855232995;11,751356347291;467,751809603691;0,451027623890027;12,4049936328377;14,1106642708557;105,518957819349;0,642964843475722;0,06;1,42453652975424;0,08;0,265;1,54495684560152;64,5088354809343;0,13;6,9110362937585;"4";"0"
4;50;42,95;406,4508;0,275;16544,3373211833;1075,8507955434;891,885256836566;599,518264454317;3653,57411117029;24,389670048078;4,32322526469808;12,509037386605;6,75486287861908;300,160322607899;0,015;11,2147997902438;12,3107690330132;74,3132052699266;0,25;0,06;2,12293903560225;0,08;0,265;2,32626683181047;52,4465326944847;0,13;7,67277773540155;"4";"0"
5;50;42,95;406,4508;0,275;16974,6331681893;1264,73597935497;1168,81022242376;699,154711844565;4106,75758985942;36,1807856442951;4,00022947519255;18,5261917185067;9,42420696611714;483,072522048711;0,866616146588517;13,9650184017648;27,020396150656;333,030620490316;1,98455254794198;0,06;1,8590753327152;0,319020106732522;1,58464862515442;9,7400617757934;68,1985092805307;0,11;195,181278841456;"4";"0"
6;50;42,95;406,4508;0,275;16138,7804554829;1228,80345040058;1023,61954878845;949,406861176992;3909,12207329497;28,1764316665202;4,48501669061342;9,55979812371066;14,7800908940175;328,107106599106;0,2;14,3801573800677;24,4225548523119;103,520913522191;1,16977207118935;0,06;1,36445108572332;0,05;0,265;6,27809133897446;51,2579780328982;0,13;11,9070999924333;"4";"0"
7;50;41,45;406,4508;0,275;17558,3498806456;1246,50269732446;1111,82467222712;1161,45297919456;3388,40127895495;32,2257181682483;2,70537572997312;16,6281990650792;10,0905441696428;546,801308085591;0,722109814180943;16,5686630245415;41,3135270123348;153,419393657769;2,92851077162778;1,31277203148161;1,61184675161349;0,414081632796012;2,32637238120962;22,1960150816638;61,5099754629658;0,11;287,218754296486;"4";"0"
8;50;39,95;406,4508;0,275;15391,2497337987;1164,10056030556;1266,17205134919;724,88368778814;3844,49499029712;37,484045422496;7,47467084802704;9,37772646061671;10,1609858645698;479,081372879681;0,558797304184416;23,3350433400806;15,6852567441951;100,339851813516;0,25;0,06;1,24061723850121;0,289812784769282;0,265;1,66615387012188;53,0726849820482;0,11;5,63520728657434;"4";"0"
9;50;42,95;406,4508;0,275;16316,6956410369;1021,44752991366;805,034242627212;695,281982580432;2991,49563128834;19,2547163171152;1,92594314366139;10,9730893185414;4,17677685168711;235,130315112655;0,2;5,96905328767762;25,0899816471569;98,7614761616034;2,69025617396595;0,06;1,1031152937525;0,05;0,265;10,7144459534765;50,4390197685358;0,13;23,805157212293;"4";"0"
10;50;42,95;406,4508;0,275;17315,3224378898;1347,9400639283;1173,04944482654;838,752765342109;3295,24570127587;33,6697758162934;3,26561735739451;10,3912551830474;9,184988222566;588,758268182707;0,2;5,46204891110787;24,7804235818114;75,8263884281321;0,973151530212849;0,06;1,6793843575075;0,05;0,265;5,41172998718803;58,0224942321266;0,13;9,05997626154148;"4";"0"
