date,PM2.5,Cl,NO3,SO4,Na,NH4,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Pb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,C Orgánico,C Elemental,C Total,Event,ws,wd,temp,rh,pres,blh
2019-04-03 12:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,3.6,54,295.9,56,1010,597.4
2019-04-03 13:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1.5,92,296.1,56,1009,641.2
2019-04-03 14:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,2.6,357,296.1,57,1009,678.1
2019-04-03 15:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,2.1,95,296.2,56,1008,702.1
2019-04-03 16:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1.5,93,297.1,55,1007,721.5
2019-04-03 17:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1.5,53,296.6,58,1006,743.3
2019-04-03 18:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1,356,294.9,64,1005,728.6
2019-04-03 19:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1.5,49,293.9,68,1005,697.1
2019-04-03 20:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,0.5,47,293.4,71,1004,604.2
2019-04-03 21:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,0,0,293.4,73,1004,437.7
