date,ws,temp,rh,pres,blh
2019-04-03 12:00:00,1.83,21.93,71.21,1002.75,414.14
2019-04-06 12:00:00,1.77,17.80,66.67,1017.33,449.73
2019-04-09 12:00:00,1.83,23.10,61.08,1012.17,361.79
2019-04-12 12:00:00,2.68,18.14,62.75,1011.00,655.10
2019-04-15 12:00:00,1.97,16.28,69.25,1020.67,558.60
2019-04-18 12:00:00,1.80,21.04,67.33,1008.29,372.04
2019-04-21 12:00:00,0.82,16.09,73.17,1016.12,420.02
2019-04-24 12:00:00,3.25,18.70,76.62,1020.17,609.79
2019-04-27 12:00:00,0.82,18.22,88.71,1009.67,278.92
2019-04-30 12:00:00,1.74,13.34,70.96,1016.71,501.76
2019-05-03 12:00:00,2.09,20.50,62.50,1010.50,296.41
2019-05-06 12:00:00,1.74,15.74,74.42,1020.00,521.60
2019-05-12 12:00:00,1.80,17.75,60.25,1017.46,283.54
2019-05-15 12:00:00,1.04,15.05,81.08,1023.04,574.33
2019-05-18 12:00:00,1.79,18.78,82.33,1013.29,343.98
2019-05-24 12:00:00,1.94,15.19,60.75,1012.33,286.94
2019-05-27 12:00:00,1.03,15.06,85.12,1010.17,234.23
2019-05-30 12:00:00,2.18,12.06,75.38,1016.50,598.34
2019-06-02 12:00:00,0.99,15.99,76.38,1020.33,246.84
2019-06-11 12:00:00,2.42,17.13,89.71,1009.00,381.13
2019-06-14 12:00:00,3.09,13.40,88.75,1014.83,509.99
2019-06-17 12:00:00,1.21,13.51,94.42,1011.38,333.93
2019-06-20 12:00:00,2.10,13.56,75.08,1018.21,296.29
2019-06-23 12:00:00,1.38,15.28,90.71,1007.46,261.00
2019-06-26 12:00:00,3.90,10.68,47.04,1011.04,587.81
2019-06-29 12:00:00,1.84,11.62,90.88,1009.25,478.12
2019-07-08 12:00:00,1.58,11.90,64.83,1019.00,241.65
2019-07-11 12:00:00,1.99,15.23,84.25,1009.38,159.86
2019-07-14 12:00:00,0.96,11.14,81.21,1017.42,151.81
2019-07-17 12:00:00,2.90,13.97,66.08,1016.75,505.84
2019-07-21 12:00:00,3.90,16.31,65.29,1005.88,734.34
2019-07-23 12:00:00,2.20,9.48,67.00,1024.92,443.62
2019-07-26 12:00:00,1.32,11.91,92.58,1020.38,332.85
2019-07-29 12:00:00,0.94,11.92,80.83,1015.46,251.11
2019-08-01 12:00:00,3.91,11.43,46.96,1015.00,1026.40
2019-08-04 12:00:00,3.98,13.50,49.75,1023.62,503.95
2019-08-07 12:00:00,2.52,12.49,54.88,1021.50,437.28
2019-08-10 12:00:00,2.45,12.62,55.67,1015.29,383.21
2019-08-13 12:00:00,1.48,6.28,60.50,1033.04,841.69
2019-08-16 12:00:00,1.47,15.95,75.08,1007.08,168.67
