date,temp,pres,rh,ws,VentCoef
2019-04-03 12:00:00,295.9,1010.0,56.0,3.6,6447.6
2019-04-03 13:00:00,296.1,1009.0,56.0,1.5,2899.5
2019-04-03 14:00:00,296.1,1009.0,57.0,2.6,5467.8
2019-04-03 15:00:00,296.2,1008.0,56.0,2.1,695.1
2019-04-03 16:00:00,297.1,1007.0,55.0,1.5,157.5
2019-04-03 17:00:00,296.6,1006.0,58.0,1.5,103.5
2019-04-03 18:00:00,294.9,1005.0,64.0,1.0,29.0
2019-04-03 19:00:00,293.9,1005.0,68.0,1.5,103.5
2019-04-03 20:00:00,293.4,1004.0,71.0,0.5,7.5
2019-04-03 21:00:00,293.4,1004.0,73.0,0.0,
2019-04-03 22:00:00,293.4,1004.0,77.0,2.1,186.9
2019-04-03 23:00:00,293.4,1004.0,80.0,1.0,30.0
2019-04-04 00:00:00,293.4,1003.0,83.0,1.5,103.5
2019-04-04 01:00:00,293.6,1002.0,83.0,1.0,33.0
2019-04-04 02:00:00,293.6,1001.0,81.0,1.0,37.0
2019-04-04 03:00:00,293.2,1000.0,83.0,2.6,670.8000000000001
2019-04-04 04:00:00,293.2,999.0,82.0,2.6,1331.2
2019-04-04 05:00:00,293.6,998.0,80.0,1.5,558.0
2019-04-04 06:00:00,293.9,998.0,79.0,2.1,1241.1000000000001
2019-04-04 07:00:00,294.1,998.0,79.0,3.6,4086.0
2019-04-04 08:00:00,293.9,998.0,85.0,1.5,1470.0
2019-04-04 09:00:00,297.4,998.0,75.0,2.1,2494.8
2019-04-04 10:00:00,299.8,998.0,65.0,1.5,2052.0
2019-04-04 11:00:00,301.8,998.0,63.0,4.1,7035.599999999999
2019-04-06 12:00:00,293.9,1020.0,52.0,0.5,77.5
2019-04-06 13:00:00,294.6,1019.0,49.0,1.0,171.0
2019-04-06 14:00:00,294.6,1018.0,50.0,5.1,5686.5
2019-04-06 15:00:00,294.9,1017.0,51.0,2.6,1627.6000000000001
2019-04-06 16:00:00,295.4,1017.0,50.0,3.1,1233.8
2019-04-06 17:00:00,294.6,1016.0,55.0,2.1,275.1
2019-04-06 18:00:00,293.9,1016.0,56.0,3.6,3038.4
2019-04-06 19:00:00,293.4,1017.0,57.0,2.1,772.8000000000001
2019-04-06 20:00:00,292.6,1016.0,59.0,2.6,1151.8
2019-04-06 21:00:00,291.9,1016.0,59.0,1.5,220.5
2019-04-06 22:00:00,290.8,1017.0,64.0,2.1,464.1
2019-04-06 23:00:00,289.6,1017.0,71.0,1.0,64.0
2019-04-07 00:00:00,288.1,1018.0,76.0,1.0,50.0
2019-04-07 01:00:00,287.9,1017.0,79.0,1.5,138.0
2019-04-07 02:00:00,287.8,1017.0,80.0,2.1,466.20000000000005
2019-04-07 03:00:00,288.8,1017.0,72.0,0.5,38.5
2019-04-07 04:00:00,287.4,1017.0,80.0,1.0,50.0
2019-04-07 05:00:00,286.2,1017.0,86.0,1.0,191.0
2019-04-07 06:00:00,285.6,1017.0,90.0,1.5,625.5
2019-04-07 07:00:00,285.9,1018.0,91.0,1.0,605.0
2019-04-07 08:00:00,286.1,1018.0,90.0,1.0,812.0
2019-04-07 09:00:00,290.2,1018.0,73.0,1.5,1530.0
2019-04-07 10:00:00,293.4,1018.0,59.0,1.5,1854.0
2019-04-07 11:00:00,295.1,1018.0,51.0,1.5,2167.5
2019-04-09 12:00:00,299.4,1015.0,42.0,2.6,2038.4
2019-04-09 13:00:00,300.1,1015.0,44.0,2.6,1224.6000000000001
2019-04-09 14:00:00,300.1,1014.0,44.0,2.6,1804.4
2019-04-09 15:00:00,300.4,1013.0,44.0,3.1,2281.6
2019-04-09 16:00:00,300.6,1012.0,43.0,1.5,457.5
2019-04-09 17:00:00,300.2,1012.0,43.0,3.1,1050.9
2019-04-09 18:00:00,298.8,1011.0,51.0,1.0,130.0
2019-04-09 19:00:00,296.9,1011.0,61.0,1.0,40.0
2019-04-09 20:00:00,295.9,1012.0,53.0,1.5,103.5
2019-04-09 21:00:00,295.1,1012.0,67.0,1.5,103.5
2019-04-09 22:00:00,295.1,1011.0,77.0,1.5,114.0
2019-04-09 23:00:00,295.4,1011.0,72.0,1.0,30.0
2019-04-10 00:00:00,295.8,1011.0,67.0,2.1,478.8
2019-04-10 01:00:00,295.4,1011.0,65.0,1.5,102.0
2019-04-10 02:00:00,294.9,1011.0,68.0,2.1,474.6
2019-04-10 03:00:00,294.4,1011.0,71.0,1.0,66.0
2019-04-10 04:00:00,294.2,1011.0,69.0,1.5,81.0
2019-04-10 05:00:00,293.2,1012.0,74.0,1.0,165.0
2019-04-10 06:00:00,292.6,1012.0,75.0,2.1,1241.1000000000001
2019-04-10 07:00:00,292.2,1012.0,76.0,1.5,918.0
2019-04-10 08:00:00,292.4,1013.0,77.0,1.5,1242.0
2019-04-10 09:00:00,294.1,1013.0,69.0,2.6,2873.0
2019-04-10 10:00:00,295.8,1013.0,57.0,1.5,1956.0
2019-04-10 11:00:00,297.1,1013.0,57.0,2.6,3931.2000000000003
2019-04-12 12:00:00,292.1,1015.0,56.0,2.1,1291.5
2019-04-12 13:00:00,292.9,1015.0,56.0,2.1,768.6
2019-04-12 14:00:00,293.6,1013.0,50.0,4.1,3398.8999999999996
2019-04-12 15:00:00,293.6,1012.0,51.0,3.1,1370.2
2019-04-12 16:00:00,293.1,1012.0,53.0,4.1,2435.3999999999996
2019-04-12 17:00:00,292.9,1011.0,54.0,3.6,1674.0
2019-04-12 18:00:00,292.1,1011.0,57.0,4.1,2435.3999999999996
2019-04-12 19:00:00,291.6,1011.0,60.0,3.6,3013.2000000000003
2019-04-12 20:00:00,290.9,1011.0,60.0,2.1,688.8000000000001
2019-04-12 21:00:00,290.8,1011.0,62.0,1.5,166.5
2019-04-12 22:00:00,290.1,1010.0,66.0,1.5,136.5
2019-04-12 23:00:00,291.1,1011.0,59.0,1.5,136.5
2019-04-13 00:00:00,290.9,1011.0,67.0,2.1,464.1
2019-04-13 01:00:00,290.9,1010.0,62.0,2.6,1128.4
2019-04-13 02:00:00,290.8,1010.0,64.0,3.1,1956.1000000000001
2019-04-13 03:00:00,290.1,1010.0,69.0,3.6,3009.6
2019-04-13 04:00:00,289.9,1009.0,72.0,1.0,461.0
2019-04-13 05:00:00,289.4,1009.0,75.0,1.5,556.5
2019-04-13 06:00:00,289.1,1009.0,71.0,3.1,2833.4
2019-04-13 07:00:00,288.9,1010.0,74.0,0.5,332.5
2019-04-13 08:00:00,288.2,1010.0,83.0,2.1,1896.3000000000002
2019-04-13 09:00:00,290.4,1011.0,76.0,1.5,1656.0
2019-04-13 10:00:00,292.8,1011.0,59.0,4.6,7212.799999999999
2019-04-13 11:00:00,294.8,1011.0,50.0,5.1,9756.3
2019-04-15 12:00:00,291.9,1021.0,70.0,2.1,2881.2000000000003
2019-04-15 13:00:00,292.8,1021.0,68.0,4.1,6834.7
2019-04-15 14:00:00,292.4,1019.0,63.0,4.6,9986.599999999999
2019-04-15 15:00:00,292.2,1020.0,61.0,1.5,802.5
2019-04-15 16:00:00,292.1,1020.0,58.0,2.6,995.8000000000001
2019-04-15 17:00:00,292.1,1020.0,52.0,4.1,3407.1
2019-04-15 18:00:00,291.8,1020.0,53.0,4.1,3370.2
2019-04-15 19:00:00,291.6,1020.0,49.0,2.6,1076.4
2019-04-15 20:00:00,291.6,1021.0,48.0,3.6,2739.6
2019-04-15 21:00:00,290.9,1021.0,57.0,1.5,495.0
