,temp,pres,rh,ws,PBLH,VentCoef
2017-12-31,421.7,1009.5454545454545,69.33333333333333,2.6,603.6666666666666,1605.2
2018-01-01,296.9291666666667,1008.8333333333334,58.875,1.5375,244.71428571428572,477.57142857142856
2018-01-02,298.925,1007.5833333333334,41.875,1.9875,457.57142857142856,1239.1571428571428
2018-01-03,301.525,1007.2916666666666,42.625,2.6875,602.375,2343.3999999999996
2018-01-04,302.75416666666666,1007.125,46.375,3.7125,1102.5,6134.987499999999
2018-01-05,292.64166666666665,1010.0833333333334,81.625,1.4,299.2857142857143,531.4285714285714
2018-01-06,296.2583333333333,1011.4583333333334,43.375,2.5125,574.2857142857143,1995.7142857142858
2018-01-07,300.77916666666664,1011.4166666666666,43.375,2.575,607.5,2211.7
2018-01-08,301.0625,1011.8333333333334,47.0,2.325,404.625,1047.7625
2018-01-09,300.3875,1011.2083333333334,57.5,2.775,478.75,1677.2
2018-01-10,302.9791666666667,1010.5416666666666,60.125,2.275,392.5,885.1125000000001
2018-01-11,304.7708333333333,1009.3333333333334,49.125,2.625,543.375,1972.6874999999998
2018-01-12,300.21250000000003,1008.0416666666666,67.375,2.0500000000000003,535.125,2220.075
2018-01-13,294.96250000000003,1008.7083333333334,79.375,3.4625,940.0,3695.8125
2018-01-14,291.6041666666667,1009.25,90.125,3.1625,873.75,3126.375
2018-01-15,296.7583333333333,1010.5416666666666,71.0,2.6375,510.125,1564.7250000000001
2018-01-16,299.14166666666665,1010.5416666666666,64.625,2.05,259.625,625.0500000000001
2018-01-17,297.1375,1009.75,72.5,1.6625,444.2857142857143,1069.1142857142856
2018-01-18,300.0,1009.8333333333334,58.5,1.65,311.625,745.0375
2018-01-19,299.9791666666667,1010.4583333333334,56.375,1.8499999999999999,258.25,587.9499999999999
2018-01-20,301.05833333333334,1009.4583333333334,60.0,1.925,264.25,545.4875000000001
2018-01-21,300.93333333333334,1007.7083333333334,61.5,2.2375,476.2857142857143,1670.8999999999999
2018-01-22,299.6875,1006.8333333333334,74.25,1.9875,314.125,813.3625
2018-01-23,298.7625,1007.875,65.75,3.5374999999999996,1379.7142857142858,8636.214285714286
2018-01-24,293.6166666666667,1011.7083333333334,54.75,3.4625,948.0,4440.725
2018-01-25,295.5125,1011.6666666666666,62.75,3.025,617.5,2432.5875
2018-01-26,298.31666666666666,1009.7083333333334,61.25,2.6875,502.875,1768.3375
2018-01-27,298.92083333333335,1008.3333333333334,71.375,1.4125,292.57142857142856,585.7428571428571
2018-01-28,298.3541666666667,1009.8333333333334,52.75,2.7625,507.375,1670.275
2018-01-29,298.05,1009.5833333333334,52.25,3.4749999999999996,685.25,2553.4625
2018-01-30,300.52916666666664,1009.4583333333334,60.125,1.6625,259.625,521.075
2018-01-31,300.2583333333333,1010.4583333333334,65.625,1.8499999999999999,330.14285714285717,990.8571428571429
2018-02-01,301.8333333333333,1009.8333333333334,59.75,1.3375,233.28571428571428,500.6714285714285
2018-02-02,298.5625,1010.2083333333334,61.5,2.5125,433.875,1247.8875
