,PM2.5,Cl,NO3,SO4,Na,NH4,C Orgánico,C Elemental,C Total,Na total,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Pb
PM2.5,1,0.32,0.45,0.22,0.24,0.27,0.59,0.31,0.61,-0.04,0.13,0.22,0.34,0.11,0.26,0.24,0.23,0.33,0.36,0.15,0.03,0.24,0.13,0.33,-0.05,0.17,0.08,0.24,0.26,0.23,0.17
Cl,0.32,1,0.29,0.3,0.47,0.15,0.19,0.26,0.22,-0.01,0.08,0.08,0.12,-0.03,0.09,0.07,0.15,0.1,0.19,0.18,-0.01,0.19,0.04,0.22,0.05,0.07,0.04,0.21,0.29,0.11,0.19
NO3,0.45,0.29,1,0.34,0.19,0.51,0.4,0.25,0.43,-0.07,0.09,0.06,0.2,-0.01,0.04,0.23,0.21,0.15,0.11,0.06,-0.05,0.25,0.19,0.38,0.07,0.12,0.08,0.22,0.31,0.15,0.3
SO4,0.22,0.3,0.34,1,0.39,0.28,0.07,0.27,0.12,0.07,0.03,-0.02,-0.03,-0,-0.08,0.1,0,-0.15,-0.07,-0.09,0,-0.12,-0.15,0.1,0.13,-0.22,-0.17,-0.05,0.01,-0.02,0.01
Na,0.24,0.47,0.19,0.39,1,0.04,0.15,0.2,0.19,0.17,0.17,0.16,0.12,0.05,0.11,0.01,0.11,0.06,0.15,0.15,0.04,-0.01,-0.12,0.09,0.06,-0.07,-0.11,-0.03,0.08,0.13,-0.05
NH4,0.27,0.15,0.51,0.28,0.04,1,0.27,0.21,0.3,0.03,0.12,-0,0.07,0.06,-0.05,0.27,0.21,0.01,-0,-0.04,-0.11,0.14,0.14,0.3,0.04,0.16,0.11,0.12,0.17,0.19,0.23
C Orgánico,0.59,0.19,0.4,0.07,0.15,0.27,1,0.27,0.9,0.1,0.21,0.21,0.38,0.19,0.22,0.22,0.28,0.36,0.32,0.1,0.02,0.33,0.22,0.46,-0.06,0.25,0.09,0.34,0.39,0.36,0.28
C Elemental,0.31,0.26,0.25,0.27,0.2,0.21,0.27,1,0.37,0.02,0.14,0.06,0.05,0.09,0.04,0.19,0.13,0.06,0.17,0.07,-0,0.15,0.15,0.21,0.16,0.09,-0,0.16,0.18,0.21,0.17
C Total,0.61,0.22,0.43,0.12,0.19,0.3,0.9,0.37,1,0.09,0.22,0.2,0.36,0.19,0.21,0.24,0.28,0.34,0.33,0.1,0.01,0.32,0.23,0.46,-0.03,0.25,0.07,0.34,0.38,0.36,0.28
Na total,-0.04,-0.01,-0.07,0.07,0.17,0.03,0.1,0.02,0.09,1,0.46,0.2,0.06,0.45,-0.03,0.02,0.13,-0.09,-0.04,-0.07,0.06,0.05,0.02,0.13,-0.04,0.05,-0.06,0.04,0.07,0.42,0.06
Mg,0.13,0.08,0.09,0.03,0.17,0.12,0.21,0.14,0.22,0.46,1,0.48,0.27,0.58,0.24,0.09,0.28,0.11,0.15,0.08,0.09,0.2,0.18,0.17,-0.05,0.25,0.1,0.14,0.16,0.49,0.1
Al,0.22,0.08,0.06,-0.02,0.16,-0,0.21,0.06,0.2,0.2,0.48,1,0.41,0.44,0.67,0.07,0.19,0.41,0.5,0.25,0.31,0.26,0.22,0.14,-0.03,0.13,0.14,0.15,0.2,0.35,0.1
K,0.34,0.12,0.2,-0.03,0.12,0.07,0.38,0.05,0.36,0.06,0.27,0.41,1,0.25,0.38,0.19,0.2,0.46,0.43,0.37,0.17,0.37,0.31,0.3,0.04,0.29,0.46,0.3,0.22,0.29,0.18
Ca,0.11,-0.03,-0.01,-0,0.05,0.06,0.19,0.09,0.19,0.45,0.58,0.44,0.25,1,0.25,0.13,0.3,0.2,0.19,0.03,0.11,0.17,0.19,0.18,-0.08,0.26,0.08,0.15,0.14,0.6,0.13
Ti,0.26,0.09,0.04,-0.08,0.11,-0.05,0.22,0.04,0.21,-0.03,0.24,0.67,0.38,0.25,1,0.09,0.15,0.56,0.63,0.3,0.3,0.22,0.17,0.05,-0.06,0.09,0.12,0.13,0.16,0.21,0.05
V,0.24,0.07,0.23,0.1,0.01,0.27,0.22,0.19,0.24,0.02,0.09,0.07,0.19,0.13,0.09,1,0.27,0.21,0.19,0.1,-0,0.15,0.21,0.17,-0.09,0.3,0.17,0.12,0.03,0.26,0.1
Cr,0.23,0.15,0.21,0,0.11,0.21,0.28,0.13,0.28,0.13,0.28,0.19,0.2,0.3,0.15,0.27,1,0.24,0.26,0.21,0.02,0.38,0.26,0.25,-0.04,0.45,0.21,0.28,0.29,0.45,0.25
Mn,0.33,0.1,0.15,-0.15,0.06,0.01,0.36,0.06,0.34,-0.09,0.11,0.41,0.46,0.2,0.56,0.21,0.24,1,0.67,0.34,0.23,0.39,0.36,0.22,-0.07,0.31,0.28,0.36,0.28,0.28,0.22
Fe,0.36,0.19,0.11,-0.07,0.15,-0,0.32,0.17,0.33,-0.04,0.15,0.5,0.43,0.19,0.63,0.19,0.26,0.67,1,0.38,0.34,0.39,0.3,0.19,0.03,0.24,0.23,0.3,0.28,0.31,0.18
Co,0.15,0.18,0.06,-0.09,0.15,-0.04,0.1,0.07,0.1,-0.07,0.08,0.25,0.37,0.03,0.3,0.1,0.21,0.34,0.38,1,0.32,0.32,0.32,0.16,0.07,0.3,0.39,0.29,0.15,0.13,0.2
Ni,0.03,-0.01,-0.05,0,0.04,-0.11,0.02,-0,0.01,0.06,0.09,0.31,0.17,0.11,0.3,-0,0.02,0.23,0.34,0.32,1,0.19,0.25,0.03,0.25,0.01,0.07,0.13,0.07,-0,0.06
Cu,0.24,0.19,0.25,-0.12,-0.01,0.14,0.33,0.15,0.32,0.05,0.2,0.26,0.37,0.17,0.22,0.15,0.38,0.39,0.39,0.32,0.19,1,0.58,0.44,0.07,0.45,0.44,0.52,0.54,0.33,0.51
Zn,0.13,0.04,0.19,-0.15,-0.12,0.14,0.22,0.15,0.23,0.02,0.18,0.22,0.31,0.19,0.17,0.21,0.26,0.36,0.3,0.32,0.25,0.58,1,0.38,0.08,0.48,0.47,0.51,0.34,0.29,0.45
As,0.33,0.22,0.38,0.1,0.09,0.3,0.46,0.21,0.46,0.13,0.17,0.14,0.3,0.18,0.05,0.17,0.25,0.22,0.19,0.16,0.03,0.44,0.38,1,0.14,0.3,0.31,0.49,0.55,0.35,0.55
Se,-0.05,0.05,0.07,0.13,0.06,0.04,-0.06,0.16,-0.03,-0.04,-0.05,-0.03,0.04,-0.08,-0.06,-0.09,-0.04,-0.07,0.03,0.07,0.25,0.07,0.08,0.14,1,-0.1,0.11,0.16,0.1,-0.09,0.16
Mo,0.17,0.07,0.12,-0.22,-0.07,0.16,0.25,0.09,0.25,0.05,0.25,0.13,0.29,0.26,0.09,0.3,0.45,0.31,0.24,0.3,0.01,0.45,0.48,0.3,-0.1,1,0.46,0.39,0.28,0.42,0.32
Ag,0.08,0.04,0.08,-0.17,-0.11,0.11,0.09,-0,0.07,-0.06,0.1,0.14,0.46,0.08,0.12,0.17,0.21,0.28,0.23,0.39,0.07,0.44,0.47,0.31,0.11,0.46,1,0.37,0.26,0.16,0.35
Cd,0.24,0.21,0.22,-0.05,-0.03,0.12,0.34,0.16,0.34,0.04,0.14,0.15,0.3,0.15,0.13,0.12,0.28,0.36,0.3,0.29,0.13,0.52,0.51,0.49,0.16,0.39,0.37,1,0.5,0.28,0.59
Sb,0.26,0.29,0.31,0.01,0.08,0.17,0.39,0.18,0.38,0.07,0.16,0.2,0.22,0.14,0.16,0.03,0.29,0.28,0.28,0.15,0.07,0.54,0.34,0.55,0.1,0.28,0.26,0.5,1,0.29,0.56
Ba,0.23,0.11,0.15,-0.02,0.13,0.19,0.36,0.21,0.36,0.42,0.49,0.35,0.29,0.6,0.21,0.26,0.45,0.28,0.31,0.13,-0,0.33,0.29,0.35,-0.09,0.42,0.16,0.28,0.29,1,0.25
Pb,0.17,0.19,0.3,0.01,-0.05,0.23,0.28,0.17,0.28,0.06,0.1,0.1,0.18,0.13,0.05,0.1,0.25,0.22,0.18,0.2,0.06,0.51,0.45,0.55,0.16,0.32,0.35,0.59,0.56,0.25,1
