,PM2.5,Cl,NO3,SO4,Na,NH4,C Orgánico,C Elemental,C Total,Na total,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Pb
PM2.5,1,0.44,0.57,0.39,0.3,0.53,0.86,0.48,0.86,-0.04,0.21,0.27,0.17,0.14,0.26,0.48,0.29,0.43,0.44,0.1,0.06,0.2,0.27,0.59,0.12,0.23,0.15,0.08,0.47,0.31,0.4
Cl,0.44,1,0.67,0.8,0.79,0.72,0.33,0.3,0.35,0.13,0.24,0.12,0.04,0.09,0.01,0.07,0.32,0.11,0.13,0.02,-0.04,0.2,0.32,0.5,0.23,0.09,-0.04,0.16,0.5,0.27,0.6
NO3,0.57,0.67,1,0.78,0.61,0.89,0.48,0.19,0.47,0.07,0.21,0.05,0.03,0.14,-0.06,0.3,0.22,0.09,0.01,-0.07,-0.1,0.15,0.28,0.54,0.13,0.15,0.05,0.07,0.35,0.23,0.44
SO4,0.39,0.8,0.78,1,0.81,0.8,0.23,0.29,0.26,0.12,0.13,-0.02,-0.14,0.07,-0.13,0.18,0.15,-0.09,-0.06,-0.1,0.02,-0.06,0.12,0.45,0.36,-0.05,-0.21,0.08,0.26,0.16,0.47
Na,0.3,0.79,0.61,0.81,1,0.53,0.18,0.23,0.21,0.17,0.24,0.11,-0.04,0.16,-0.01,0.07,0.25,0.06,0.08,0.01,0.05,-0.01,0.1,0.35,0.19,-0.02,-0.16,0.05,0.27,0.26,0.36
NH4,0.53,0.72,0.89,0.8,0.53,1,0.44,0.24,0.44,0.13,0.26,0.05,0.01,0.18,-0.07,0.26,0.23,0.03,-0.03,-0.11,-0.14,0.12,0.31,0.55,0.18,0.13,0,0.09,0.37,0.28,0.53
C Orgánico,0.86,0.33,0.48,0.23,0.18,0.44,1,0.48,0.99,0.1,0.26,0.23,0.2,0.18,0.18,0.42,0.35,0.45,0.41,0.12,-0.04,0.32,0.35,0.68,0.02,0.23,0.13,0.1,0.59,0.44,0.45
C Elemental,0.48,0.3,0.19,0.29,0.23,0.24,0.48,1,0.6,0.13,0.21,0.02,-0.11,0.17,-0.05,0.33,0.36,0.15,0.25,0.11,0.04,0.12,0.35,0.39,0.2,0.14,-0.04,0.26,0.4,0.48,0.46
C Total,0.86,0.35,0.47,0.26,0.21,0.44,0.99,0.6,1,0.11,0.27,0.22,0.17,0.19,0.15,0.43,0.38,0.44,0.41,0.13,-0.03,0.31,0.38,0.68,0.05,0.24,0.11,0.13,0.6,0.48,0.49
Na total,-0.04,0.13,0.07,0.12,0.17,0.13,0.1,0.13,0.11,1,0.51,0.18,-0.07,0.52,-0.09,-0.02,0.12,-0.15,-0.06,-0.12,-0.09,-0.08,-0.02,0.18,-0.12,-0.07,-0.25,0.09,0.04,0.58,0.13
Mg,0.21,0.24,0.21,0.13,0.24,0.26,0.26,0.21,0.27,0.51,1,0.62,0.21,0.76,0.22,0.05,0.37,0.12,0.18,0.12,-0.04,0.21,0.25,0.25,-0.08,0.14,0.01,0.11,0.18,0.68,0.23
Al,0.27,0.12,0.05,-0.02,0.11,0.05,0.23,0.02,0.22,0.18,0.62,1,0.42,0.58,0.85,0.03,0.25,0.57,0.68,0.28,0.22,0.24,0.21,0.17,-0.01,0.03,0.02,0.06,0.24,0.43,0.12
K,0.17,0.04,0.03,-0.14,-0.04,0.01,0.2,-0.11,0.17,-0.07,0.21,0.42,1,0.18,0.42,0.2,0.2,0.52,0.39,0.46,-0.04,0.49,0.36,0.22,-0.04,0.22,0.5,0.03,0.16,0.16,0.08
Ca,0.14,0.09,0.14,0.07,0.16,0.18,0.18,0.17,0.19,0.52,0.76,0.58,0.18,1,0.3,0.1,0.35,0.22,0.23,0.07,-0.06,-0.01,0.22,0.24,-0.11,0.07,-0.05,0.15,0.11,0.78,0.23
Ti,0.26,0.01,-0.06,-0.13,-0.01,-0.07,0.18,-0.05,0.15,-0.09,0.22,0.85,0.42,0.3,1,0.01,0.16,0.73,0.8,0.28,0.18,0.16,0.12,0.01,-0.1,0.01,0.06,-0.01,0.19,0.18,0
V,0.48,0.07,0.3,0.18,0.07,0.26,0.42,0.33,0.43,-0.02,0.05,0.03,0.2,0.1,0.01,1,0.18,0.27,0.27,0.23,0.01,0.14,0.23,0.33,0.12,0.15,0.14,0.11,0.03,0.29,0.1
Cr,0.29,0.32,0.22,0.15,0.25,0.23,0.35,0.36,0.38,0.12,0.37,0.25,0.2,0.35,0.16,0.18,1,0.39,0.39,0.23,-0.01,0.37,0.44,0.35,0.04,0.42,0.25,0.23,0.45,0.53,0.46
Mn,0.43,0.11,0.09,-0.09,0.06,0.03,0.45,0.15,0.44,-0.15,0.12,0.57,0.52,0.22,0.73,0.27,0.39,1,0.84,0.43,0.15,0.44,0.47,0.26,-0.06,0.29,0.34,0.06,0.43,0.3,0.15
Fe,0.44,0.13,0.01,-0.06,0.08,-0.03,0.41,0.25,0.41,-0.06,0.18,0.68,0.39,0.23,0.8,0.27,0.39,0.84,1,0.41,0.33,0.35,0.33,0.23,0.06,0.13,0.18,0.08,0.38,0.33,0.16
Co,0.1,0.02,-0.07,-0.1,0.01,-0.11,0.12,0.11,0.13,-0.12,0.12,0.28,0.46,0.07,0.28,0.23,0.23,0.43,0.41,1,0.26,0.48,0.4,0.19,0.11,0.3,0.39,0.09,0.15,0.12,0.13
Ni,0.06,-0.04,-0.1,0.02,0.05,-0.14,-0.04,0.04,-0.03,-0.09,-0.04,0.22,-0.04,-0.06,0.18,0.01,-0.01,0.15,0.33,0.26,1,-0.02,0.08,-0.05,0.43,-0.14,-0.14,-0.06,-0.03,-0.17,-0.12
Cu,0.2,0.2,0.15,-0.06,-0.01,0.12,0.32,0.12,0.31,-0.08,0.21,0.24,0.49,-0.01,0.16,0.14,0.37,0.44,0.35,0.48,-0.02,1,0.6,0.43,0.14,0.32,0.57,0.11,0.49,0.17,0.37
Zn,0.27,0.32,0.28,0.12,0.1,0.31,0.35,0.35,0.38,-0.02,0.25,0.21,0.36,0.22,0.12,0.23,0.44,0.47,0.33,0.4,0.08,0.6,1,0.55,0.17,0.47,0.58,0.24,0.55,0.36,0.53
As,0.59,0.5,0.54,0.45,0.35,0.55,0.68,0.39,0.68,0.18,0.25,0.17,0.22,0.24,0.01,0.33,0.35,0.26,0.23,0.19,-0.05,0.43,0.55,1,0.3,0.25,0.22,0.23,0.71,0.44,0.69
