,PM2.5,Cl,NO3,SO4,Na,NH4,C Orgánico,C Elemental,C Total,Na total,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Pb
PM2.5,1,0.47,0.62,0.33,0.35,0.39,0.79,0.44,0.8,-0.07,0.2,0.32,0.46,0.16,0.37,0.37,0.34,0.48,0.51,0.2,0.04,0.33,0.18,0.46,-0.06,0.24,0.11,0.33,0.38,0.33,0.26
Cl,0.47,1,0.43,0.42,0.66,0.21,0.27,0.37,0.32,-0.01,0.12,0.12,0.18,-0.04,0.13,0.12,0.23,0.16,0.29,0.23,-0.01,0.27,0.08,0.3,0.07,0.12,0.06,0.3,0.41,0.18,0.28
NO3,0.62,0.43,1,0.48,0.26,0.67,0.56,0.37,0.59,-0.09,0.12,0.09,0.3,-0.02,0.06,0.34,0.31,0.23,0.16,0.09,-0.06,0.36,0.28,0.54,0.09,0.19,0.11,0.3,0.45,0.2,0.42
SO4,0.33,0.42,0.48,1,0.54,0.4,0.1,0.4,0.18,0.11,0.04,-0.04,-0.06,-0.01,-0.14,0.17,-0,-0.2,-0.09,-0.13,-0.01,-0.16,-0.22,0.16,0.17,-0.32,-0.24,-0.06,0.01,-0.03,0.02
Na,0.35,0.66,0.26,0.54,1,0.06,0.23,0.31,0.28,0.25,0.25,0.25,0.17,0.09,0.16,0.02,0.17,0.1,0.24,0.19,0.05,-0.01,-0.17,0.14,0.07,-0.1,-0.16,-0.03,0.14,0.19,-0.06
NH4,0.39,0.21,0.67,0.4,0.06,1,0.39,0.31,0.42,0.04,0.18,-0.03,0.1,0.09,-0.07,0.4,0.3,0.02,-0.02,-0.06,-0.16,0.2,0.2,0.42,0.03,0.24,0.14,0.17,0.25,0.28,0.35
C Orgánico,0.79,0.27,0.56,0.1,0.23,0.39,1,0.39,0.98,0.14,0.3,0.3,0.51,0.27,0.32,0.32,0.41,0.5,0.46,0.15,0.02,0.44,0.31,0.64,-0.08,0.35,0.11,0.46,0.55,0.51,0.4
C Elemental,0.44,0.37,0.37,0.4,0.31,0.31,0.39,1,0.52,0.02,0.21,0.09,0.08,0.12,0.06,0.28,0.19,0.08,0.24,0.1,-0,0.22,0.23,0.31,0.22,0.12,-0,0.24,0.27,0.3,0.25
C Total,0.8,0.32,0.59,0.18,0.28,0.42,0.98,0.52,1,0.13,0.3,0.29,0.48,0.27,0.3,0.35,0.4,0.47,0.46,0.15,0.02,0.44,0.32,0.64,-0.04,0.34,0.1,0.46,0.54,0.51,0.4
Na total,-0.07,-0.01,-0.09,0.11,0.25,0.04,0.14,0.02,0.13,1,0.6,0.28,0.09,0.6,-0.03,0.04,0.17,-0.14,-0.05,-0.09,0.09,0.07,0.04,0.19,-0.06,0.08,-0.07,0.05,0.09,0.54,0.09
Mg,0.2,0.12,0.12,0.04,0.25,0.18,0.3,0.21,0.3,0.6,1,0.65,0.37,0.75,0.34,0.14,0.39,0.17,0.21,0.12,0.14,0.29,0.26,0.24,-0.06,0.37,0.13,0.19,0.23,0.67,0.16
Al,0.32,0.12,0.09,-0.04,0.25,-0.03,0.3,0.09,0.29,0.28,0.65,1,0.57,0.61,0.84,0.11,0.27,0.57,0.66,0.37,0.45,0.36,0.31,0.21,-0.03,0.19,0.19,0.21,0.28,0.49,0.14
K,0.46,0.18,0.3,-0.06,0.17,0.1,0.51,0.08,0.48,0.09,0.37,0.57,1,0.35,0.54,0.28,0.31,0.64,0.6,0.52,0.23,0.5,0.43,0.44,0.04,0.41,0.58,0.42,0.32,0.42,0.27
Ca,0.16,-0.04,-0.02,-0.01,0.09,0.09,0.27,0.12,0.27,0.6,0.75,0.61,0.35,1,0.36,0.19,0.42,0.28,0.27,0.04,0.13,0.25,0.29,0.26,-0.11,0.35,0.11,0.21,0.2,0.78,0.2
Ti,0.37,0.13,0.06,-0.14,0.16,-0.07,0.32,0.06,0.3,-0.03,0.34,0.84,0.54,0.36,1,0.14,0.22,0.74,0.82,0.42,0.43,0.32,0.24,0.08,-0.08,0.14,0.15,0.2,0.23,0.31,0.07
V,0.37,0.12,0.34,0.17,0.02,0.4,0.32,0.28,0.35,0.04,0.14,0.11,0.28,0.19,0.14,1,0.4,0.31,0.28,0.14,-0.02,0.21,0.3,0.26,-0.12,0.43,0.23,0.17,0.04,0.38,0.16
Cr,0.34,0.23,0.31,-0,0.17,0.3,0.41,0.19,0.4,0.17,0.39,0.27,0.31,0.42,0.22,0.4,1,0.35,0.37,0.29,0.03,0.55,0.38,0.37,-0.05,0.62,0.29,0.38,0.41,0.63,0.37
Mn,0.48,0.16,0.23,-0.2,0.1,0.02,0.5,0.08,0.47,-0.14,0.17,0.57,0.64,0.28,0.74,0.31,0.35,1,0.85,0.47,0.33,0.56,0.52,0.32,-0.09,0.45,0.36,0.49,0.4,0.38,0.32
Fe,0.51,0.29,0.16,-0.09,0.24,-0.02,0.46,0.24,0.46,-0.05,0.21,0.66,0.6,0.27,0.82,0.28,0.37,0.85,1,0.52,0.47,0.55,0.42,0.29,0.04,0.34,0.29,0.4,0.4,0.41,0.27
Co,0.2,0.23,0.09,-0.13,0.19,-0.06,0.15,0.1,0.15,-0.09,0.12,0.37,0.52,0.04,0.42,0.14,0.29,0.47,0.52,1,0.42,0.43,0.43,0.22,0.08,0.42,0.48,0.39,0.2,0.17,0.27
Ni,0.04,-0.01,-0.06,-0.01,0.05,-0.16,0.02,-0,0.02,0.09,0.14,0.45,0.23,0.13,0.43,-0.02,0.03,0.33,0.47,0.42,1,0.28,0.36,0.04,0.32,-0.02,0.09,0.19,0.1,-0.01,0.09
Cu,0.33,0.27,0.36,-0.16,-0.01,0.2,0.44,0.22,0.44,0.07,0.29,0.36,0.5,0.25,0.32,0.21,0.55,0.56,0.55,0.43,0.28,1,0.74,0.62,0.09,0.63,0.56,0.69,0.72,0.48,0.7
Zn,0.18,0.08,0.28,-0.22,-0.17,0.2,0.31,0.23,0.32,0.04,0.26,0.31,0.43,0.29,0.24,0.3,0.38,0.52,0.42,0.43,0.36,0.74,1,0.54,0.1,0.65,0.6,0.68,0.48,0.44,0.62
As,0.46,0.3,0.54,0.16,0.14,0.42,0.64,0.31,0.64,0.19,0.24,0.21,0.44,0.26,0.08,0.26,0.37,0.32,0.29,0.22,0.04,0.62,0.54,1,0.18,0.43,0.41,0.65,0.75,0.49,0.73
Se,-0.06,0.07,0.09,0.17,0.07,0.03,-0.08,0.22,-0.04,-0.06,-0.06,-0.03,0.04,-0.11,-0.08,-0.12,-0.05,-0.09,0.04,0.08,0.32,0.09,0.1,0.18,1,-0.14,0.13,0.2,0.13,-0.12,0.21
Mo,0.24,0.12,0.19,-0.32,-0.1,0.24,0.35,0.12,0.34,0.08,0.37,0.19,0.41,0.35,0.14,0.43,0.62,0.45,0.34,0.42,-0.02,0.63,0.65,0.43,-0.14,1,0.59,0.52,0.4,0.61,0.47
Ag,0.11,0.06,0.11,-0.24,-0.16,0.14,0.11,-0,0.1,-0.07,0.13,0.19,0.58,0.11,0.15,0.23,0.29,0.36,0.29,0.48,0.09,0.56,0.6,0.41,0.13,0.59,1,0.47,0.33,0.23,0.47
Cd,0.33,0.3,0.3,-0.06,-0.03,0.17,0.46,0.24,0.46,0.05,0.19,0.21,0.42,0.21,0.2,0.17,0.38,0.49,0.4,0.39,0.19,0.69,0.68,0.65,0.2,0.52,0.47,1,0.65,0.37,0.77
Sb,0.38,0.41,0.45,0.01,0.14,0.25,0.55,0.27,0.54,0.09,0.23,0.28,0.32,0.2,0.23,0.04,0.41,0.4,0.4,0.2,0.1,0.72,0.48,0.75,0.13,0.4,0.33,0.65,1,0.41,0.76
Ba,0.33,0.18,0.2,-0.03,0.19,0.28,0.51,0.3,0.51,0.54,0.67,0.49,0.42,0.78,0.31,0.38,0.63,0.38,0.41,0.17,-0.01,0.48,0.44,0.49,-0.12,0.61,0.23,0.37,0.41,1,0.36
Pb,0.26,0.28,0.42,0.02,-0.06,0.35,0.4,0.25,0.4,0.09,0.16,0.14,0.27,0.2,0.07,0.16,0.37,0.32,0.27,0.27,0.09,0.7,0.62,0.73,0.21,0.47,0.47,0.77,0.76,0.36,1
