date[yyyymmddHHMM];wdir;wspd[m/s];clht[km];hzvs[km];tmpd[C];dptp[C];slvp[hPa];press[hPa];prcpPeriod[hours];prcp[mm];sky[octas];skyOpaque[octas]
201601010000;90;4.6;99.999;10;26.3;21.6;1009.8;9999.9;;;06;99
201601010300;20;1;3;10;26.4;21.5;1011.2;9999.9;;;08;99
201601010600;360;3.6;3;10;25.8;18.3;1011;9999.9;;;07;99
201601010900;180;1;3;10;22.5;19.2;1010.8;9999.9;;;08;99
201601011200;180;1.5;0.75;10;24.6;19.7;1012.2;9999.9;06;0;07;99
201601011500;999;0;0.75;9;22.4;20.9;1013.1;9999.9;;;07;99
201601011800;140;1;99.999;10;28.4;19.3;1011.4;9999.9;06;18;00;99
201601012100;360;1.5;99.999;10;27.2;20.4;1010.3;9999.9;;;02;99
201601020000;50;1;99.999;10;24.8;21.5;1011;9999.9;;;00;99
201601020300;50;2.1;99.999;10;24.9;21.8;1012.2;9999.9;;;04;99
201601020600;340;3.1;99.999;10;24.8;20.2;1012.5;9999.9;;;03;99
201601020900;320;2.6;99.999;10;23.5;20.3;1014.5;9999.9;;;03;99
201601021200;360;1.5;6;10;25.5;20.7;1015.5;9999.9;24;18;05;99
201601021500;360;2.6;6;10;28.3;21;1014.2;9999.9;;;05;99
201601021800;360;2.6;99.999;10;30.4;19.2;1012.9;9999.9;;;04;99
201601022100;50;0.5;6;10;29.8;20.6;1011.7;9999.9;;;05;99
201601030000;90;2.1;99.999;10;26.3;19.3;1012.9;9999.9;;;02;99
201601030300;360;2.1;99.999;10;26.5;20.5;1013.3;9999.9;;;00;99
201601030600;360;5.7;99.999;10;24.6;20;1012.3;9999.9;;;02;99
201601030900;360;1.5;0.45;10;23.6;20.9;1012.9;9999.9;;;08;99
201601031200;50;1.5;0.6;10;24.2;20.9;1013.8;9999.9;;;08;99
201601031500;50;5.1;0.45;10;26;20.6;1013.3;9999.9;;;08;99
201601031800;50;3.1;0.6;10;27.6;19.4;1012.1;9999.9;;;08;99
201601032100;320;3.1;6;10;27.6;21.1;1011.3;9999.9;;;08;99
201601040000;50;2.1;6;10;25.9;21.8;1010.3;9999.9;;;06;99
201601040300;360;4.1;3;10;26.1;21.3;1010.2;9999.9;;;08;99
201601040600;360;2.6;0.45;10;25.3;22.1;1009.9;9999.9;;;08;99
201601040900;360;3.1;0.45;10;24.9;22.4;1010;9999.9;;;08;99
201601041200;360;2.1;0.72;10;25.5;22.6;1010.4;9999.9;;;08;99
201601041500;360;2.6;3;10;27.4;23.1;1010.3;9999.9;;;08;99
201601041800;140;2.1;0.6;10;29.8;23.8;1010.1;9999.9;;;08;99
201601042100;360;1;3;10;26.4;24.6;1008.4;9999.9;;;08;99
201601050000;999;0;3;10;24.9;22.9;1010.1;9999.9;06;0.9;08;99
201601050300;180;1.5;3;10;24.5;23;1010.5;9999.9;;;08;99
201601050600;999;0;99.999;10;23.3;22.7;1010.2;9999.9;;;04;99
201601050900;999;0;99.999;10;22.9;21.2;1010.6;9999.9;;;03;99
201601051200;140;2.1;99.999;10;26.8;22.1;1012.8;9999.9;24;0.9;03;99
201601051500;140;3.1;3;10;30.8;20.7;1012.3;9999.9;;;05;99
201601051800;90;5.1;0.6;10;31.8;20.2;1012.3;9999.9;;;05;99
201601052100;50;2.1;0.66;10;27.8;19.6;1012.6;9999.9;;;07;99
201601060000;140;7.2;3;10;24.8;18.8;1015.1;9999.9;;;07;99
201601060300;140;2.6;3;10;21.1;12.1;1017.1;9999.9;;;05;99
201601060600;140;2.6;99.999;10;18.3;12.8;1016.5;9999.9;;;00;99
201601060900;140;3.1;99.999;10;17.1;12.5;1016.9;9999.9;;;00;99
201601061200;140;2.1;99.999;10;21.9;13.9;1018;9999.9;;;01;99
201601061500;90;4.6;99.999;10;27.4;15.4;1017.1;9999.9;;;00;99
201601061800;140;1;99.999;10;28.7;12.5;1015.8;9999.9;;;02;99
201601062100;90;1.5;99.999;10;26.3;16.8;1015.2;9999.9;;;01;99
201601070000;90;3.6;99.999;10;23.3;15.8;1015.9;9999.9;;;01;99
201601070300;90;1;99.999;10;21;12.2;1017.2;9999.9;;;00;99
201601070600;90;0.5;99.999;10;18.6;13.9;1016.3;9999.9;;;00;99
201601070900;140;1;99.999;10;16.9;13.9;1016.8;9999.9;;;00;99
201601071200;90;2.1;99.999;10;23.6;13.4;1017.5;9999.9;;;00;99
201601071500;140;2.6;99.999;10;27;11.9;1016.9;9999.9;;;01;99
201601071800;360;4.1;99.999;10;28;14.2;1015.8;9999.9;;;03;99
201601072100;50;2.6;99.999;10;25.8;13.8;1014.4;9999.9;;;02;99
201601080000;360;2.6;3;10;23.7;13.5;1014.1;9999.9;;;08;99
201601080300;50;2.6;3;10;23.8;16.9;1013.9;9999.9;;;07;99
201601080600;320;3.6;3;10;23.5;14.7;1013.4;9999.9;;;08;99
201601080900;320;2.6;3;10;22.3;14.4;1014.5;9999.9;;;07;99
201601081200;360;3.1;3;10;23;17.2;1013.2;9999.9;06;0;08;99
201601081500;360;0.5;3;10;25.2;10.7;1012.7;9999.9;;;07;99
201601081800;320;3.1;99.999;10;28.4;9.1;1011.9;9999.9;;;00;99
201601082100;360;2.1;99.999;10;28;11.5;1010.3;9999.9;;;00;99
201601090000;50;1;99.999;10;25.1;15.5;1010.7;9999.9;;;00;99
201601090300;999;0;99.999;10;21.6;17.4;1013.4;9999.9;;;00;99
201601090600;999;0;99.999;10;20.4;18.2;1014;9999.9;;;00;99
201601090900;50;1;99.999;10;20.4;17.3;1014.6;9999.9;;;00;99
201601091200;90;4.1;99.999;10;22.9;17.7;1015.9;9999.9;;;01;99
201601091500;90;4.1;99.999;10;25.5;17.4;1016.6;9999.9;;;04;99
201601091800;90;2.1;0.6;10;25.7;19.1;1015.9;9999.9;;;07;99
201601092100;90;2.1;99.999;10;24.2;17.9;1015.3;9999.9;;;07;99
201601100000;140;3.1;99.999;10;21.9;16;1015.4;9999.9;;;03;99
201601100300;90;2.1;0.45;10;21.8;18;1015.2;9999.9;;;07;99
201601100600;90;1.5;0.45;10;21.6;18.8;1013.5;9999.9;;;06;99
201601100900;140;1;99.999;10;20.3;18.4;1012.6;9999.9;;;05;99
201601101200;999;0;6;10;25.8;19.7;1013;9999.9;;;05;99
201601101500;999;0;3;10;28;18.8;1012.9;9999.9;;;08;99
201601101800;140;1;1.5;8;23;20.9;1012.6;9999.9;06;0.9;08;99
201601102100;50;2.1;3;10;24;19.7;1011;9999.9;;;05;99
201601110000;90;1.5;99.999;10;23.1;19.9;1011.2;9999.9;06;0.6;01;99
201601110300;140;1;99.999;10;21;20.1;1012.4;9999.9;;;00;99
201601110600;999;0;0.45;10;20.6;20;1011.2;9999.9;;;05;99
201601110900;270;1;99.999;10;20.3;19.5;1011.4;9999.9;;;03;99
201601111200;999;0;99.999;10;26;20.1;1011.5;9999.9;24;2;01;99
201601111500;999;0;6;10;28.5;19.6;1010.1;9999.9;;;07;99
201601111800;50;1.5;99.999;10;29.2;17.7;1008.5;9999.9;;;02;99
201601112100;360;0.5;99.999;10;30.3;17.2;1005.9;9999.9;;;04;99
201601120000;320;2.1;99.999;10;27.3;20.7;1005.5;9999.9;;;01;99
201601120300;320;1;99.999;10;26.2;22.1;1006.4;9999.9;;;00;99
201601120600;320;1.5;99.999;10;24.6;20.4;1004.6;9999.9;;;00;99
201601120900;290;1.5;3;10;24.4;19.3;1006.2;9999.9;;;06;99
201601121200;270;4.1;0.99;10;25;18.1;1005.9;9999.9;;;08;99
201601121500;270;2.1;3;10;31;15.8;1003.9;9999.9;;;08;99
201601121800;230;6.2;3;10;27;15.3;1005.9;9999.9;;;08;99
201601122100;140;0.5;0.9;10;27.6;16.1;1004.1;9999.9;;;07;99
201601130000;180;3.6;99.999;10;25.2;17.8;1007.7;9999.9;06;0;02;99
201601130300;230;1;99.999;10;22.8;18.9;1009.2;9999.9;;;00;99
201601130600;230;2.6;99.999;10;20.5;16.6;1011;9999.9;;;00;99
201601130900;140;2.1;99.999;10;19.3;15.8;1011.8;9999.9;;;00;99
201601131200;90;2.1;99.999;10;24.3;17.8;1012.9;9999.9;24;0;00;99
201601131500;90;1.5;99.999;10;27;14.9;1014.4;9999.9;;;01;99
201601131800;90;2.1;99.999;10;29;10.8;1013.5;9999.9;;;04;99
201601132100;360;1.5;99.999;10;27.4;16;1012.7;9999.9;;;03;99
201601140000;50;2.6;6;10;25.2;16.9;1013;9999.9;;;06;99
201601140300;50;1.5;6;10;24.6;19.4;1013.2;9999.9;;;06;99
201601140600;320;3.6;99.999;10;23.4;14.7;1013;9999.9;;;00;99
201601140900;270;2.6;99.999;10;21.6;13.1;1013.4;9999.9;;;00;99
201601141200;320;2.1;99.999;10;25.4;14.9;1014.2;9999.9;;;00;99
201601141500;320;2.1;99.999;10;30.8;14.2;1012.7;9999.9;;;03;99
201601141800;320;6.2;99.999;10;33;14.3;1010.2;9999.9;;;00;99
201601142100;320;2.1;99.999;10;31.8;13.4;1008.3;9999.9;;;00;99
201601150000;320;2.1;99.999;10;29.3;13.8;1008.5;9999.9;;;00;99
201601150300;320;1;99.999;10;23.3;16.9;1010.1;9999.9;;;00;99
201601150600;999;0;99.999;10;22.2;15.6;1009.7;9999.9;;;00;99
201601150900;360;0.5;99.999;10;23.3;15;1009.4;9999.9;;;00;99
201601151200;180;1.5;6;10;26.6;16.4;1011.6;9999.9;;;05;99
201601151500;180;5.1;99.999;10;33;15.6;1011.7;9999.9;;;00;99
201601151800;50;1;99.999;10;34;17;1010.5;9999.9;;;03;99
201601152100;90;1.5;99.999;10;27.2;16.3;1011.6;9999.9;;;00;99
201601160000;90;6.2;99.999;10;23.4;14.4;1013.4;9999.9;;;00;99
201601160300;50;4.1;99.999;10;22.4;15.8;1014.5;9999.9;;;00;99
201601160600;90;2.1;99.999;10;22.2;15.6;1013.9;9999.9;;;00;99
201601160900;50;4.1;99.999;10;21;16.4;1014.2;9999.9;;;00;99
201601161200;360;1.5;99.999;10;23.8;13.7;1014.5;9999.9;;;00;99
201601161500;360;1.5;99.999;10;26.8;13;1013.6;9999.9;;;00;99
201601161800;320;2.1;99.999;10;32.4;16;1011.8;9999.9;;;01;99
201601162100;340;3.6;6;10;32.2;17.8;1009.1;9999.9;;;05;99
201601170000;50;1.5;99.999;10;27.1;21;1010.7;9999.9;;;03;99
201601170300;140;1.5;6;10;24.8;16.3;1011.5;9999.9;;;06;99
201601170600;320;1;99.999;10;25.3;17.8;1009.8;9999.9;;;04;99
201601170900;320;2.6;99.999;10;26.4;20;1009.7;9999.9;;;04;99
201601171200;320;3.1;6;10;28.8;19;1011.6;9999.9;;;06;99
201601171500;230;1.5;99.999;10;35;18.4;1011.4;9999.9;;;04;99
201601171800;140;3.1;6;10;34.4;17.6;1010.5;9999.9;;;07;99
201601172100;230;3.6;6;10;31.3;18.3;1010.1;9999.9;;;08;99
201601180000;180;1.5;99.999;10;27.7;19.5;1011.4;9999.9;;;04;99
201601180300;180;1.5;99.999;10;25.4;20.1;1012.4;9999.9;;;00;99
201601180600;140;2.1;99.999;10;24.9;17.6;1012.8;9999.9;;;00;99
201601180900;140;3.1;99.999;10;21.4;16.9;1014.8;9999.9;;;00;99
201601181200;140;1.5;99.999;10;24.8;16.8;1017.1;9999.9;;;00;99
201601181500;90;3.1;99.999;10;28.2;15.3;1016.5;9999.9;;;00;99
201601181800;50;3.1;99.999;10;28.4;15.1;1015.7;9999.9;;;00;99
201601182100;50;3.1;99.999;10;26.2;15.9;1015.3;9999.9;;;00;99
201601190000;50;3.1;99.999;10;23.5;15.8;1016.3;9999.9;;;00;99
201601190300;50;2.6;99.999;10;23.1;15.5;1016.8;9999.9;;;01;99
201601190600;360;3.6;99.999;10;22.3;16.3;1016;9999.9;;;03;99
201601190900;50;4.1;3;10;21.7;14.1;1015.9;9999.9;;;05;99
201601191200;360;4.1;99.999;10;24.4;18.1;1016.8;9999.9;;;03;99
201601191500;360;1.5;6;10;27.8;14.9;1016.1;9999.9;;;05;99
201601191800;360;1.5;1.5;10;29;15.1;1014.9;9999.9;;;08;99
201601192100;50;3.1;99.999;10;28;17.3;1013.1;9999.9;;;04;99
201601200000;50;3.1;6;10;25.3;18.5;1013.4;9999.9;;;06;99
201601200300;50;2.1;6;10;25.5;20;1015;9999.9;;;07;99
201601200600;320;2.1;99.999;10;25.3;17.4;1013.3;9999.9;;;04;99
201601200900;50;2.6;6;10;22.9;18.3;1016.2;9999.9;;;08;99
201601201200;360;3.6;6;10;25.6;18.5;1015.6;9999.9;;;07;99
201601201500;320;6.2;0.6;10;28.2;19.7;1014.7;9999.9;;;08;99
201601201800;320;1.5;3;10;27.8;15.9;1015.1;9999.9;06;0;06;99
201601202100;360;2.6;99.999;10;27.2;19.3;1013.8;9999.9;;;02;99
201601210000;50;2.6;6;10;25.9;20.6;1014.4;9999.9;;;05;99
201601210300;50;1;6;10;24.6;19.7;1015.6;9999.9;;;07;99
201601210600;50;2.1;99.999;10;23.8;18.1;1014.6;9999.9;;;04;99
201601210900;50;2.6;6;10;23.9;19.1;1015.6;9999.9;;;05;99
201601211200;360;1;99.999;10;24.7;20.9;1016.8;9999.9;24;0;04;99
201601211500;360;3.1;3;10;28;20.8;1016.6;9999.9;;;07;99
201601212100;50;1.5;99.999;10;30;22.1;1014.1;9999.9;;;03;99
201601220000;360;3.6;99.999;10;26.7;21.5;1012.9;9999.9;;;00;99
201601220300;360;3.1;99.999;10;27.2;21.6;1013.3;9999.9;;;04;99
201601220600;360;4.1;99.999;10;27.1;19.1;1011.8;9999.9;;;00;99
201601220900;360;2.6;99.999;10;25.5;20;1012.2;9999.9;;;04;99
201601221200;320;2.6;99.999;10;27.4;21.2;1012.6;9999.9;;;02;99
201601221500;360;2.1;99.999;10;32.6;21.5;1011;9999.9;;;01;99
201601221800;320;3.6;99.999;10;35.8;21.5;1008.9;9999.9;;;00;99
201601222100;270;2.6;99.999;10;36;19;1006.6;9999.9;;;01;99
201601230000;320;1.5;99.999;10;33.4;20.2;1006.9;9999.9;;;00;99
201601230300;140;3.6;6;10;30.5;22.4;1011.2;9999.9;;;07;99
201601230600;180;2.1;99.999;10;23.5;22.6;1010.8;9999.9;06;4;00;99
201601230900;140;5.1;99.999;10;23.1;19.1;1012.6;9999.9;;;04;99
201601231200;140;3.1;99.999;10;23.4;17.3;1015;9999.9;24;4;01;99
201601231500;90;3.1;99.999;10;26;19.6;1015.5;9999.9;;;04;99
201601231800;50;5.1;99.999;10;27.4;19.1;1014.1;9999.9;;;01;99
201601232100;50;3.6;99.999;10;26;18.6;1013.6;9999.9;;;01;99
201601240000;90;2.6;0.75;10;23.3;19.3;1011.8;9999.9;;;05;99
201601240300;90;4.1;0.75;10;23;19.8;1011.5;9999.9;;;07;99
201601240600;50;1.5;0.45;10;21.8;18.8;1009.3;9999.9;;;05;99
201601240900;50;2.6;99.999;10;22.5;19.7;1006.8;9999.9;;;04;99
201601241200;360;2.1;99.999;10;25.2;20.4;1005.9;9999.9;;;04;99
201601241500;360;5.1;99.999;10;30.4;22.3;1003.8;9999.9;;;03;99
201601241800;270;4.6;99.999;10;36.9;21.6;1001.6;9999.9;;;02;99
201601242100;320;5.1;99.999;10;35.8;19.5;998.3;9999.9;;;02;99
201601250000;320;1.5;6;10;33.9;18.8;999.5;9999.9;;;06;99
201601250300;230;3.6;6;10;26.3;15.8;1002.7;9999.9;;;05;99
201601250600;320;4.1;1.5;8;21.1;18.2;1003.6;9999.9;06;7;08;99
201601250900;320;1;0.36;7;20.3;18.6;1004.9;9999.9;;;08;99
201601251200;230;3.1;99.999;10;23;18.5;1005;9999.9;06;0.2;05;99
201601251800;180;1.5;99.999;10;32;16.3;1005.2;9999.9;;;02;99
201601252100;140;4.6;6;10;28.8;12.7;1005.7;9999.9;;;05;99
201601260000;140;1;6;10;25.6;12;1008.4;9999.9;;;06;99
201601260300;140;0.5;6;10;22.9;12.7;1009.9;9999.9;;;07;99
201601260600;50;1;6;10;23.1;11.7;1010.4;9999.9;;;07;99
201601260900;999;0;6;10;20.8;14.9;1010.6;9999.9;;;08;99
201601261200;140;3.1;99.999;10;23.3;11.3;1011.9;9999.9;;;03;99
201601261500;140;1.5;99.999;10;25.9;13.7;1013.3;9999.9;;;04;99
201601261800;180;2.1;99.999;10;29.1;11.5;1013.4;9999.9;;;01;99
201601262100;140;3.6;99.999;10;26.2;8.8;1012.9;9999.9;;;00;99
201601270000;140;3.1;99.999;10;23.2;7.3;1015.1;9999.9;;;00;99
201601270300;90;2.1;99.999;10;21;9.8;1016.9;9999.9;;;00;99
201601270600;50;1.5;99.999;10;19.6;12.6;1016.2;9999.9;;;00;99
201601270900;90;1;99.999;10;17;13.1;1017;9999.9;;;00;99
201601271200;360;3.1;99.999;10;22.6;14.2;1017.2;9999.9;;;01;99
201601271500;50;3.1;99.999;10;24.4;13.6;1017.3;9999.9;;;01;99
201601271800;50;2.1;99.999;10;27.2;8.8;1015.7;9999.9;;;00;99
201601272100;50;1.5;99.999;10;25.4;8.8;1014.2;9999.9;;;03;99
201601280000;50;3.1;99.999;10;23.1;12.6;1015.3;9999.9;;;04;99
201601280300;50;2.1;6;10;23;16;1014.1;9999.9;;;07;99
201601280600;50;2.1;6;10;22.5;18.2;1014.4;9999.9;;;06;99
201601280900;360;4.1;99.999;10;21.7;15.8;1015;9999.9;;;04;99
201601281200;320;1.5;99.999;10;24.2;18.2;1015.9;9999.9;;;03;99
201601281500;360;1.5;6;10;27.3;17.2;1014.9;9999.9;;;07;99
201601281800;50;1;6;10;29.5;16.4;1013.8;9999.9;;;08;99
201601282100;90;4.6;3;10;25.4;16.6;1013.2;9999.9;;;06;99
201601290000;50;2.6;99.999;10;24.3;16.2;1013.2;9999.9;;;03;99
201601290300;50;2.6;6;10;23.9;17.6;1013.6;9999.9;;;06;99
201601290600;50;2.6;99.999;10;24.2;19.8;1012.3;9999.9;;;03;99
201601290900;360;3.1;6;10;23.8;20.3;1012.2;9999.9;;;06;99
