CL# YR MO DA HR 

1  19  4  3 15   
1  19  4  3 21   
1  19  4  4  3   
1  19  4  6 15   
1  19  4 15 15   
1  19  4 15 21   
1  19  4 16  3   
1  19  4 16  9   
1  19  5  3 15   
1  19  5  3 21   
1  19  5  4  3   
1  19  5  4  9   
1  19  5  6 15   
1  19  5  6 21   
1  19  6 20 15   
1  19  6 26 15   
1  19  6 26 21   
1  19  6 27  3   
1  19  6 27  9   
1  19  7 22  3   
1  19  7 22  9   
1  19  7 23 15   
1  19  7 24  9   
1  19  8  1 15   
1  19  8  1 21   
1  19  8  2  3   
1  19  8  2  9   
1  19  8  7 15   
1  19  8  7 21   
1  19  8  8  3   
1  19  8  8  9   
1  19  8 12 15   
1  19  8 31 15   
1  19  8 31 21   
1  19  9  1  3   
1  19  9 16  9   
1  19  9 18 15   
1  19  9 21 15   
1  19  9 21 21   
1  19  9 22  3   
1  19  9 22  9   
1  19 10  1  9   
1  19 10 18 15   
1  19 10 18 21   
1  19 10 19  3   
1  19 10 19  9   
1  19 10 31  9   
1  19 11  2 21   
1  19 11  3  3   
1  19 11  3  9   
1  19 11  5 15   
1  19 11  5 21   
1  19 11  6  3   
1  19 11  6  9   
1  19 11 14 21   
1  19 11 15  3   
1  19 11 26 21   
1  19 11 27  3   
1  19 11 27  9   
1  19 11 30 15   
1  19 11 30 21   
1  19 12  1  3   
1  19 12  1  9   
1  19 12  6  9   
1  19 12 12  9   
1  20  1 10 21   
1  20  1 13 15   
2  19  4  4  9   
2  19  4  7  9   
2  19  4 12 21   
2  19  4 13  3   
2  19  4 13  9   
2  19  4 22  9   
2  19  5 12 15   
2  19  5 12 21   
2  19  5 13  3   
2  19  5 13  9   
2  19  5 19  9   
2  19  5 24 15   
2  19  5 24 21   
2  19  5 25  3   
2  19  5 25  9   
2  19  6  2 15   
2  19  6  2 21   
2  19  6 14 21   
2  19  6 15  3   
2  19  6 15  9   
2  19  6 17 15   
2  19  6 18  3   
2  19  6 18  9   
2  19  6 21  9   
2  19  6 23 21   
2  19  6 24  3   
2  19  6 24  9   
2  19  6 29 21   
2  19  7 14 15   
2  19  7 14 21   
2  19  7 15  3   
2  19  7 15  9   
2  19  7 17 21   
2  19  8  4 15   
2  19  8  4 21   
2  19  8  5  3   
2  19  8  5  9   
2  19  8 10 15   
2  19  8 10 21   
2  19  8 11  3   
2  19  8 11  9   
2  19  8 23  9   
2  19  9 12 21   
2  19  9 13  3   
2  19  9 13  9   
2  19  9 19  3   
2  19  9 19  9   
2  19  9 25  9   
2  19 10  1  3   
2  19 10  6 15   
2  19 10  6 21   
2  19 10  7  3   
2  19 10  7  9   
2  19 10  9 15   
2  19 10  9 21   
2  19 10 10  9   
2  19 10 22  3   
2  19 10 22  9   
2  19 10 25  9   
2  19 10 31  3   
2  19 11  2 15   
2  19 11 14 15   
2  19 11 15  9   
2  19 11 17 15   
2  19 11 17 21   
2  19 12  2 21   
2  19 12  8 15   
2  19 12  8 21   
2  19 12  9  3   
2  19 12  9  9   
2  19 12 14 15   
2  19 12 14 21   
2  19 12 15  3   
2  19 12 17 15   
2  19 12 17 21   
2  19 12 18  3   
2  19 12 18  9   
2  19 12 23 21   
2  19 12 24  3   
2  19 12 24  9   
2  20  1 11  3   
2  20  1 11  9   
2  20  1 25 15   
2  20  1 25 21   
2  20  1 26  3   
2  20  1 26  9   
2  20  2  1  3   
2  20  2  1  9   
2  20  2 15 15   
2  20  2 15 21   
2  20  2 16  3   
2  20  2 16  9   
2  20  2 18 15   
2  20  2 18 21   
2  20  2 19  3   
2  20  2 19  9   
2  20  2 27 15   
2  20  2 28  3   
2  20  2 28  9   
3  19  4  6 21   
3  19  4  7  3   
3  19  4 12 15   
3  19  4 21 15   
3  19  4 21 21   
3  19  4 22  3   
3  19  4 30 15   
3  19  4 30 21   
3  19  5  1  3   
3  19  5  1  9   
3  19  5  7  3   
3  19  5  7  9   
3  19  5 30 15   
3  19  5 30 21   
3  19  5 31  3   
3  19  6 20 21   
3  19  6 21  3   
3  19  6 30  3   
3  19  6 30  9   
3  19  7 23 21   
3  19  7 24  3   
3  19  8 12 21   
3  19  8 13  3   
3  19  8 13  9   
3  19  8 19 15   
3  19  8 19 21   
3  19  8 20  3   
3  19  8 20  9   
3  19  9  1  9   
3  19  9  3 15   
3  19  9  3 21   
3  19  9  4  3   
3  19  9  4  9   
3  19  9 12 15   
3  19  9 18 21   
3  19  9 27 15   
3  19  9 27 21   
3  19 10  3 15   
3  19 10  3 21   
3  19 10 15 15   
3  19 10 15 21   
3  19 10 24 15   
3  19 10 24 21   
3  19 10 25  3   
3  19 11 23 15   
3  19 11 23 21   
3  19 11 24  3   
3  19 11 24  9   
3  19 12  2 15   
3  19 12  3  3   
3  19 12  3  9   
3  19 12  5 15   
3  19 12  5 21   
3  19 12  6  3   
3  19 12 21  9   
3  20  1 13 21   
3  20  1 28 15   
3  20  1 31 21   
3  20  2 21 15   
3  20  2 21 21   
3  20  2 22  3   
3  20  2 22  9   
3  20  2 27 21   
4  19  4  9 15   
4  19  4  9 21   
4  19  4 10  9   
4  19  4 18 15   
4  19  4 18 21   
4  19  4 19  3   
4  19  4 19  9   
4  19  5 18 15   
4  19  5 18 21   
4  19  5 19  3   
4  19  5 27 15   
4  19  5 27 21   
4  19  5 28  3   
4  19  5 28  9   
4  19  6  3  3   
4  19  6  3  9   
4  19  6 11 15   
4  19  6 11 21   
4  19  6 12  3   
4  19  6 12  9   
4  19  6 17 21   
4  19  6 23 15   
4  19  6 29 15   
4  19  7  8 15   
4  19  7  8 21   
4  19  7  9  3   
4  19  7  9  9   
4  19  7 11 15   
4  19  7 11 21   
4  19  7 12  3   
4  19  7 12  9   
4  19  7 17 15   
4  19  7 18  3   
4  19  7 18  9   
4  19  7 21 15   
4  19  7 21 21   
4  19  7 29 15   
4  19  7 29 21   
4  19  7 30  3   
4  19  7 30  9   
4  19  8 16 15   
4  19  8 16 21   
4  19  8 17  3   
